date,value
2010-01-04,23.02750015258789
2010-01-05,23.034942626953125
2010-01-06,22.893579483032227
2010-01-07,22.655498504638672
2010-01-08,22.811738967895508
2010-01-11,22.521568298339844
2010-01-12,22.37276268005371
2010-01-13,22.58108901977539
2010-01-14,23.034942626953125
2010-01-15,22.960548400878906
2010-01-19,23.13911247253418
2010-01-20,22.75966453552246
2010-01-21,22.328123092651367
2010-01-22,21.546897888183594
2010-01-25,21.81474494934082
2010-01-26,21.948671340942383
2010-01-27,22.075153350830078
2010-01-28,21.69571304321289
2010-01-29,20.966564178466797
2010-02-01,21.137685775756836
2010-02-02,21.17488670349121
2010-02-03,21.301372528076172
2010-02-04,20.713594436645508
2010-02-05,20.847524642944336
2010-02-08,20.624311447143555
2010-02-09,20.840085983276367
2010-02-10,20.8252010345459
2010-02-11,20.921918869018555
2010-02-12,20.780553817749023
2010-02-16,21.19169807434082
2010-02-17,21.37108612060547
2010-02-18,21.655136108398438
2010-02-19,21.505638122558594
2010-02-22,21.47572898864746
2010-02-23,21.176729202270508
2010-02-24,21.40097999572754
2010-02-25,21.378559112548828
2010-02-26,21.430885314941406
2010-03-01,21.692506790161133
2010-03-02,21.273908615112305
2010-03-03,21.273908615112305
2010-03-04,21.40097999572754
2010-03-05,21.37108612060547
2010-03-08,21.40097999572754
2010-03-09,21.528059005737305
2010-03-10,21.655136108398438
2010-03-11,21.812103271484375
2010-03-12,21.879383087158203
2010-03-15,21.894330978393555
2010-03-16,21.954133987426758
2010-03-17,22.148488998413086
2010-03-18,22.13353729248047
2010-03-19,22.11858558654785
2010-03-22,22.126060485839844
2010-03-23,22.335359573364258
2010-03-24,22.16342544555664
2010-03-25,22.432533264160156
2010-03-26,22.170913696289062
2010-03-29,22.11858558654785
2010-03-30,22.253137588500977
2010-03-31,21.894330978393555
2010-04-01,21.79716682434082
2010-04-05,21.879383087158203
2010-04-06,21.91676139831543
2010-04-07,21.93918228149414
2010-04-08,22.36526870727539
2010-04-09,22.679218292236328
2010-04-12,22.664262771606445
2010-04-13,22.761436462402344
2010-04-14,23.038009643554688
2010-04-15,23.07538414001465
2010-04-16,22.925888061523438
2010-04-19,23.20246696472168
2010-04-20,23.441659927368164
2010-04-21,23.419240951538086
2010-04-22,23.464088439941406
2010-04-23,23.142658233642578
2010-04-26,23.254791259765625
2010-04-27,23.060441970825195
2010-04-28,23.105287551879883
2010-04-29,23.172561645507812
2010-04-30,22.828704833984375
2010-05-03,23.067916870117188
2010-05-04,22.522241592407227
2010-05-05,22.312929153442383
2010-05-06,21.66261100769043
2010-05-07,21.0870304107666
2010-05-10,21.632707595825195
2010-05-11,21.587860107421875
2010-05-12,22.00646209716797
2010-05-13,21.856958389282227
2010-05-14,21.62523078918457
2010-05-17,21.632707595825195
2010-05-18,21.475021362304688
2010-05-19,21.20470428466797
2010-05-20,20.356220245361328
2010-05-21,20.153486251831055
2010-05-24,19.72548484802246
2010-05-25,19.5753116607666
2010-05-26,18.779380798339844
2010-05-27,19.522754669189453
2010-05-28,19.372581481933594
2010-06-01,19.44015121459961
2010-06-02,19.868152618408203
2010-06-03,20.168493270874023
2010-06-04,19.365068435668945
2010-06-07,18.9896183013916
2010-06-08,18.85447120666504
2010-06-09,18.61419677734375
2010-06-10,18.771873474121094
2010-06-11,19.2674503326416
2010-06-14,19.147314071655273
2010-06-15,19.9582576751709
2010-06-16,19.763032913208008
2010-06-17,19.800575256347656
2010-06-18,19.85312843322754
2010-06-21,19.48520851135254
2010-06-22,19.35004425048828
2010-06-23,19.004642486572266
2010-06-24,18.771873474121094
2010-06-25,18.418964385986328
2010-06-28,18.25377655029297
2010-06-29,17.50289535522461
2010-06-30,17.277637481689453
2010-07-01,17.390260696411133
2010-07-02,17.47286033630371
2010-07-06,17.885835647583008
2010-07-07,18.246257781982422
2010-07-08,18.328859329223633
2010-07-09,18.223731994628906
2010-07-12,18.644224166870117
2010-07-13,18.869483947753906
2010-07-14,19.102266311645508
2010-07-15,19.154823303222656
2010-07-16,18.689281463623047
2010-07-19,18.944580078125
2010-07-20,19.132301330566406
2010-07-21,18.861982345581055
2010-07-22,19.402610778808594
2010-07-23,19.380083084106445
2010-07-26,19.59784698486328
2010-07-27,19.64288902282715
2010-07-28,19.48520851135254
2010-07-29,19.545276641845703
2010-07-30,19.380083084106445
