date,value
2010-01-04,6.406480312347412
2010-01-05,6.417557239532471
2010-01-06,6.315478324890137
2010-01-07,6.303800582885742
2010-01-08,6.3457112312316895
2010-01-11,6.289732933044434
2010-01-12,6.218188285827637
2010-01-13,6.305896282196045
2010-01-14,6.2693772315979
2010-01-15,6.1646013259887695
2010-01-19,6.437313079833984
2010-01-20,6.338228225708008
2010-01-21,6.228664875030518
2010-01-22,5.919730186462402
2010-01-25,6.0789875984191895
2010-01-26,6.164900302886963
2010-01-27,6.222976207733154
2010-01-28,5.965830326080322
2010-01-29,5.749399185180664
2010-02-01,5.829326629638672
2010-02-02,5.863152980804443
2010-02-03,5.9640350341796875
2010-02-04,5.749101161956787
2010-02-05,5.851179599761963
2010-02-08,5.811065196990967
2010-02-09,5.873029708862305
2010-02-10,5.841001033782959
2010-02-11,5.947271823883057
2010-02-12,5.998462200164795
2010-02-16,6.088865280151367
2010-02-17,6.063419342041016
2010-02-18,6.074796676635742
2010-02-19,6.037075042724609
2010-02-22,5.999659061431885
2010-02-23,5.899075508117676
2010-02-24,6.006843566894531
2010-02-25,6.046956539154053
2010-02-26,6.125387191772461
2010-03-01,6.256204605102539
2010-03-02,6.252015113830566
2010-03-03,6.266381740570068
2010-03-04,6.307694435119629
2010-03-05,6.5543622970581055
2010-03-08,6.55825138092041
2010-03-09,6.676199913024902
2010-03-10,6.730680465698242
2010-03-11,6.750439167022705
2010-03-12,6.78336763381958
2010-03-15,6.700745105743408
2010-03-16,6.71900749206543
2010-03-17,6.709129810333252
2010-03-18,6.724994659423828
2010-03-19,6.653148174285889
2010-03-22,6.727986812591553
2010-03-23,6.836055278778076
2010-03-24,6.866289138793945
2010-03-25,6.7848639488220215
2010-03-26,6.912091255187988
2010-03-29,6.956694602966309
2010-03-30,7.060270309448242
2010-03-31,7.034825325012207
2010-04-01,7.06386137008667
2010-04-05,7.1392998695373535
2010-04-06,7.170732498168945
2010-04-07,7.202465534210205
2010-04-08,7.183006286621094
2010-04-09,7.23808479309082
2010-04-12,7.253054618835449
2010-04-13,7.25724458694458
2010-04-14,7.35483455657959
2010-04-15,7.451526165008545
2010-04-16,7.406023979187012
2010-04-19,7.39614725112915
2010-04-20,7.321905612945557
2010-04-21,7.759862422943115
2010-04-22,7.976894855499268
2010-04-23,8.107410430908203
2010-04-26,8.067595481872559
2010-04-27,7.844281196594238
2010-04-28,7.831108570098877
2010-04-29,8.041852951049805
2010-04-30,7.815837383270264
2010-05-03,7.973300933837891
2010-05-04,7.743697166442871
2010-05-05,7.663170337677002
2010-05-06,7.37160062789917
2010-05-07,7.060568332672119
2010-05-10,7.603296279907227
2010-05-11,7.679038047790527
2010-05-12,7.845776557922363
2010-05-13,7.734117031097412
2010-05-14,7.598211765289307
2010-05-17,7.610182762145996
2010-05-18,7.554502010345459
2010-05-19,7.434161186218262
2010-05-20,7.1174468994140625
2010-05-21,7.253952980041504
2010-05-24,7.386865615844727
2010-05-25,7.340766906738281
2010-05-26,7.307535171508789
2010-05-27,7.584142208099365
2010-05-28,7.689813137054443
2010-06-01,7.808058261871338
2010-06-02,7.901458740234375
2010-06-03,7.876610279083252
2010-06-04,7.6622748374938965
2010-06-07,7.511994361877441
2010-06-08,7.4637980461120605
2010-06-09,7.28029727935791
2010-06-10,7.499122142791748
2010-06-11,7.588932037353516
2010-06-14,7.6119818687438965
2010-06-15,7.773929119110107
2010-06-16,8.000240325927734
2010-06-17,8.138545036315918
2010-06-18,8.204401969909668
2010-06-21,8.087655067443848
2010-06-22,8.197816848754883
2010-06-23,8.111602783203125
2010-06-24,8.052629470825195
2010-06-25,7.983778476715088
2010-06-28,8.031675338745117
2010-06-29,7.668558597564697
2010-06-30,7.529655456542969
2010-07-01,7.438353538513184
2010-07-02,7.392254829406738
2010-07-06,7.442845344543457
2010-07-07,7.743398189544678
2010-07-08,7.726036548614502
2010-07-09,7.771833419799805
2010-07-12,7.702086448669434
2010-07-13,7.537740230560303
2010-07-14,7.565578937530518
2010-07-15,7.52726411819458
2010-07-16,7.480866432189941
2010-07-19,7.3515424728393555
2010-07-20,7.540436744689941
2010-07-21,7.610785484313965
2010-07-22,7.753873348236084
2010-07-23,7.781413555145264
2010-07-26,7.761657238006592
2010-07-27,7.905350208282471
2010-07-28,7.811947822570801
2010-07-29,7.726629257202148
2010-07-30,7.700890064239502
2010-08-02,7.838590145111084
2010-08-03,7.840987205505371
2010-08-04,7.872422218322754
2010-08-05,7.834100246429443
2010-08-06,7.785904407501221
2010-08-09,7.835598468780518
2010-08-10,7.765552043914795
2010-08-11,7.4895453453063965
2010-08-12,7.537444114685059
2010-08-13,7.456915378570557
2010-08-16,7.413208484649658
2010-08-17,7.54283332824707
2010-08-18,7.5757575035095215
2010-08-19,7.480269432067871
2010-08-20,7.473082542419434
2010-08-23,7.358127117156982
2010-08-24,7.1824049949646
2010-08-25,7.271014213562012
2010-08-26,7.1928839683532715
2010-08-27,7.232998371124268
2010-08-30,7.259341239929199
2010-08-31,7.277304172515869
2010-09-01,7.493734359741211
2010-09-02,7.548815727233887
2010-09-03,7.74639368057251
2010-09-07,7.717648506164551
2010-09-08,7.870621204376221
2010-09-09,7.875114440917969
2010-09-10,7.885291576385498
2010-09-13,7.993958473205566
2010-09-14,8.024491310119629
2010-09-15,8.089151382446289
2010-09-16,8.279241561889648
2010-09-17,8.243322372436523
2010-09-20,8.478607177734375
2010-09-21,8.494775772094727
2010-09-22,8.61391830444336
2010-09-23,8.648943901062012
2010-09-24,8.75072193145752
2010-09-27,8.715998649597168
2010-09-28,8.587273597717285
2010-09-29,8.602543830871582
2010-09-30,8.49417781829834
2010-10-01,8.457356452941895
2010-10-04,8.34121036529541
2010-10-05,8.649543762207031
2010-10-06,8.657028198242188
2010-10-07,8.657919883728027
2010-10-08,8.803112030029297
2010-10-11,8.84172248840332
2010-10-12,8.936920166015625
2010-10-13,8.984819412231445
2010-10-14,9.049777030944824
2010-10-15,9.421875953674316
2010-10-18,9.519461631774902
2010-10-19,9.2647123336792
2010-10-20,9.29584789276123
2010-10-21,9.26561450958252
2010-10-22,9.204242706298828
2010-10-25,9.245258331298828
2010-10-26,9.22160816192627
2010-10-27,9.215024948120117
2010-10-28,9.137490272521973
2010-10-29,9.009964942932129
2010-11-01,9.105754852294922
2010-11-02,9.260821342468262
2010-11-03,9.363798141479492
2010-11-04,9.527548789978027
2010-11-05,9.493422508239746
2010-11-08,9.538025856018066
2010-11-09,9.46198844909668
2010-11-10,9.520367622375488
