date,value
2010-01-04,51.24470901489258
2010-01-05,51.06849670410156
2010-01-06,51.02042770385742
2010-01-07,51.39686965942383
2010-01-08,51.677207946777344
2010-01-11,51.46896743774414
2010-01-12,50.90830993652344
2010-01-13,51.56509017944336
2010-01-14,51.7573127746582
2010-01-15,51.00441360473633
2010-01-19,51.94150924682617
2010-01-20,51.18864059448242
2010-01-21,50.34764099121094
2010-01-22,49.44255447387695
2010-01-25,49.49862289428711
2010-01-26,49.010047912597656
2010-01-27,49.53068161010742
2010-01-28,48.68164825439453
2010-01-29,48.145042419433594
2010-02-01,48.71369171142578
2010-02-02,49.25033187866211
2010-02-03,48.92195510864258
2010-02-04,47.28801345825195
2010-02-05,47.47222900390625
2010-02-08,46.999671936035156
2010-02-09,47.648433685302734
2010-02-10,47.76057815551758
2010-02-11,48.5214729309082
2010-02-12,48.87389373779297
2010-02-16,49.69886779785156
2010-02-17,50.03526306152344
2010-02-18,50.44375228881836
2010-02-19,50.5078239440918
2010-02-22,50.66000747680664
2010-02-23,50.06730651855469
2010-02-24,50.4918098449707
2010-02-25,50.5078239440918
2010-02-26,50.29959487915039
2010-03-01,51.46896743774414
2010-03-02,51.861427307128906
2010-03-03,52.15778350830078
2010-03-04,52.29395294189453
2010-03-05,53.35921859741211
2010-03-08,53.4553337097168
2010-03-09,53.64754104614258
2010-03-10,54.104095458984375
2010-03-11,54.26428985595703
2010-03-12,54.240257263183594
2010-03-15,54.056034088134766
2010-03-16,54.52058792114258
2010-03-17,54.840972900390625
2010-03-18,54.672767639160156
2010-03-19,53.991947174072266
2010-03-22,54.75284957885742
2010-03-23,55.449676513671875
2010-03-24,54.81697082519531
2010-03-25,54.47167205810547
2010-03-26,54.447601318359375
2010-03-29,54.74469757080078
2010-03-30,54.913330078125
2010-03-31,54.43958282470703
2010-04-01,54.9454231262207
2010-04-05,55.973201751708984
2010-04-06,56.302391052246094
2010-04-07,56.125736236572266
2010-04-08,56.06955337524414
2010-04-09,56.406803131103516
2010-04-12,56.639644622802734
2010-04-13,56.76810836791992
2010-04-14,57.980560302734375
2010-04-15,58.157222747802734
2010-04-16,57.378318786621094
2010-04-19,57.09733200073242
2010-04-20,57.87616729736328
2010-04-21,58.27766036987305
2010-04-22,58.895904541015625
2010-04-23,59.52222442626953
2010-04-26,59.29737854003906
2010-04-27,57.94040298461914
2010-04-28,58.036766052246094
2010-04-29,59.26524353027344
2010-04-30,57.530921936035156
2010-05-03,58.823646545410156
2010-05-04,56.976871490478516
2010-05-05,56.14183044433594
2010-05-06,54.038124084472656
2010-05-07,52.48038864135742
2010-05-10,55.42719650268555
2010-05-11,55.79655838012695
2010-05-12,57.5068359375
2010-05-13,56.95279312133789
2010-05-14,55.85277557373047
2010-05-17,55.95712661743164
2010-05-18,54.881202697753906
2010-05-19,54.2308235168457
2010-05-20,51.484737396240234
2010-05-21,52.24754333496094
2010-05-24,51.548988342285156
2010-05-25,51.54096221923828
2010-05-26,51.6694221496582
2010-05-27,53.88554000854492
2010-05-28,53.195003509521484
2010-06-01,51.58109664916992
2010-06-02,53.050479888916016
2010-06-03,53.73298645019531
2010-06-04,51.03510284423828
2010-06-07,49.7182731628418
2010-06-08,49.69417953491211
2010-06-09,49.72629928588867
2010-06-10,51.44459533691406
2010-06-11,52.143157958984375
2010-06-14,52.47236251831055
2010-06-15,53.78919219970703
2010-06-16,53.540279388427734
2010-06-17,53.604530334472656
2010-06-18,53.63663864135742
2010-06-21,53.082618713378906
2010-06-22,51.99060821533203
2010-06-23,51.84606170654297
2010-06-24,51.0190315246582
2010-06-25,51.89424133300781
2010-06-28,51.59716796875
2010-06-29,49.64601135253906
2010-06-30,49.075904846191406
2010-07-01,48.72261428833008
2010-07-02,48.19011688232422
2010-07-06,47.561767578125
2010-07-07,49.22126770019531
2010-07-08,49.930179595947266
2010-07-09,50.70356750488281
2010-07-12,50.131587982177734
2010-07-13,51.71859359741211
2010-07-14,51.5333366394043
2010-07-15,51.05801773071289
2010-07-16,49.19710159301758
2010-07-19,49.40657424926758
2010-07-20,50.23631286621094
2010-07-21,49.334049224853516
2010-07-22,51.09022903442383
2010-07-23,52.34695816040039
2010-07-26,53.53923416137695
2010-07-27,53.345863342285156
2010-07-28,52.48389434814453
2010-07-29,52.34695816040039
2010-07-30,52.37917709350586
2010-08-02,53.28950119018555
2010-08-03,52.86254119873047
2010-08-04,53.41837692260742
