date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_q10,resistance_q90,support_q02,resistance_q98,dev_pct_vs_center,dev_pct_vs_support_q10,dev_pct_vs_resistance_q90
2021-06-24,1775.5999755859375,1425.6694773890297,1099.455025258602,0.2454499473733356,1.6483541333578802,1218.4869364267854,1715.5106840883666,1167.7570183798694,1882.7576207004631,0.24544994737333536,0.45721708005576733,0.03502705757236524
2021-06-25,1776.5999755859375,1426.4864896810475,1101.0467733746734,0.2454376458785618,1.6482799586326584,1219.1852180555309,1716.493796470456,1168.4262280762528,1883.8365777402248,0.2454376458785621,0.45720268690545907,0.035016834455839696
2021-06-28,1779.5999755859375,1428.9403368752871,1105.822017722888,0.2453983764482776,1.6480431695625597,1221.2824648561318,1719.4465152777266,1170.4361590795825,1887.0771602021923,0.24539837644827767,0.45715674039058274,0.03498419972574429
2021-06-29,1762.800048828125,1429.7592236076634,1107.4137658389593,0.2329349024097293,1.5725104267975225,1221.9823485259717,1720.4318831773205,1171.1069041184269,1888.1585926522266,0.23293490240972936,0.4425740690563329,0.024626470867627814
2021-06-30,1770.800048828125,1430.5785796216908,1109.005513955031,0.2378208887318891,1.6022117077699514,1222.6826332800533,1721.4178157643814,1171.7780335429584,1889.2406448417019,0.2378208887318891,0.44829083249318247,0.028686953632936385
2021-07-01,1775.9000244140625,1431.3984051863015,1110.5972620711025,0.2406748659070376,1.6195064740461167,1223.383319348227,1722.4043133625162,1172.4495475734577,1890.3233171257734,0.2406748659070379,0.45163007891933327,0.031058741920537036
2021-07-02,1782.5999755859375,1432.2187005705823,1112.1890101871736,0.2446422986068861,1.6434826715439756,1224.0844069604748,1723.3913762955176,1173.121446430332,1891.4066098598007,0.24464229860688635,0.45627210464375834,0.034355863737516534
2021-07-06,1793.5,1435.5045856915408,1118.5560026514595,0.2493864651334418,1.672052733358256,1226.8927774544686,1727.3452878585363,1175.8128945341498,1895.7459924097875,0.24938646513344187,0.46182293429187515,0.03829848763096955
2021-07-07,1801.5,1436.3272342158723,1120.1477507675309,0.2542406473156411,1.7011732555940509,1227.5958762414361,1728.335182329255,1176.4867208334315,1896.8323927311158,0.2542406473156411,0.4675024858471355,0.04233253967100392
2021-07-08,1799.5999755859375,1437.150354177635,1121.7394988836022,0.2522002101970069,1.6889463083274066,1228.2993779551412,1729.3256440814957,1177.1609332841865,1897.919415638836,0.2522002101970069,0.4651151078346152,0.04063684115536659
2021-07-09,1810.0,1437.9739458469974,1123.3312469996738,0.2587154344676747,1.7279181034745033,1229.0032828264902,1730.3166734403515,1177.8355321077079,1899.0070614897363,0.25871543446767475,0.4727381328366511,0.04605129672663666
2021-07-12,1805.5,1440.447553804683,1128.106491347888,0.2534298768678504,1.6963172448426276,1231.1174186974504,1733.2931704103414,1179.8616490297013,1902.2737402724558,0.25342987686785046,0.46655385796608995,0.041658751573205643
2021-07-13,1809.4000244140625,1441.2730350092197,1129.6982394639597,0.2554179398787464,1.7082189203899327,1231.8229385110862,1734.2864734503212,1180.537795559754,1903.3638814680387,0.25541793987874617,0.4688799565634798,0.04331092475991283
2021-07-14,1824.300048828125,1442.098989274519,1131.289987580031,0.2650310848257935,1.765504045688788,1232.5288626388835,1735.28034572518,1181.2143295709404,1904.4546473938058,0.2650310848257935,0.48012764984849166,0.051299897058272315
2021-07-15,1828.4000244140625,1442.92541687168,1132.8817356961024,0.2671479780140728,1.7780602051423926,1233.2351913125447,1736.2747875611317,1181.8912512853162,1905.5460384077746,0.26714797801407286,0.48260448395741773,0.05305913413759522
2021-07-16,1814.5,1443.752318071957,1134.4734838121738,0.2567945188986114,1.7164488669246087,1233.9419247639044,1737.2697992845774,1182.5685609250643,1906.638054868167,0.2567945188986114,0.470490598937366,0.04445492619927349
2021-07-19,1808.699951171875,1446.2358660063423,1139.248728160388,0.2506258444318952,1.6794985839166745,1236.064556104501,1740.2582570466714,1184.6028196202653,1909.917860513163,0.2506258444318952,0.46327304851459683,0.03932846969584469
2021-07-20,1810.9000244140625,1447.064664334724,1140.8404762764596,0.2514299250383593,1.6843253339250963,1236.7729109876504,1741.2555515878278,1185.2816831858665,1911.0123823455601,0.25142992503835937,0.4642138490629868,0.03999669822314522
2021-07-21,1802.9000244140625,1447.893937624822,1142.432224392531,0.2451879088406194,1.6467739526150345,1237.4816718096627,1742.253417651284,1185.960935789661,1912.107531418566,0.24518790884061947,0.456910486421626,0.034809291316836966
2021-07-22,1805.0,1448.7236861488252,1144.0239725086026,0.2459242692429997,1.6512136088459797,1238.1908388031716,1743.251855564566,1186.640577654597,1913.2033080916367,0.2459242692429997,0.45777205212138616,0.03542124119261936
2021-07-23,1801.4000244140625,1449.5539101790746,1145.615720624674,0.2427271671403525,1.6319186053687684,1238.9004122009405,1744.2508656553819,1187.3206090037474,1914.2997127244296,0.24272716714035258,0.45403133833318043,0.032764300069421104
2021-07-26,1798.699951171875,1452.0474380330854,1150.3909649728882,0.2387336006104305,1.607746967751516,1241.0315731494745,1747.251332272975,1189.3630421891585,1917.592697980848,0.23873360061043059,0.4493587351747681,0.029445459819436026
2021-07-27,1799.5,1452.8795668148837,1151.9827130889596,0.2385747869969736,1.6067841150705775,1241.7427744946158,1748.252634354806,1190.044633708478,1918.6916180532648,0.23857478699697365,0.449172918064604,0.02931347829148656
2021-07-28,1799.5,1453.7121724669914,1153.5744612050312,0.2378654000992484,1.6024817474057225,1242.4543834098508,1749.2545102555507,1190.7266158293073,1919.7911678868034,0.2378654000992484,0.4483429122454916,0.028723944657492284
2021-07-29,1831.199951171875,1454.5452552626878,1155.1662093211023,0.2589501389155226,1.7293182563897267,1243.1664001287447,1750.2569603040463,1191.408988775488,1920.8913478423597,0.25895013891552265,0.4730127446995289,0.046246347081383865
2021-07-30,1812.5999755859373,1455.3788154754116,1156.757957437174,0.2454489211414257,1.6483479454817909,1243.8788248849999,1751.2599848293223,1192.0917527709921,1921.9921582810405,0.2454489211414257,0.45721587933094465,0.03502620472573237
2021-08-02,1818.0999755859373,1457.8823633524803,1161.5332017853884,0.2470827696996875,1.6581931187047068,1246.0185497169532,1754.2725085589484,1194.1423932950856,1925.2983761099947,0.24708276969968757,0.4591275354599966,0.03638400916367335
2021-08-03,1810.0999755859373,1458.7178359708312,1163.1249499014598,0.2408842415923764,1.620773699279562,1246.7326089623452,1755.2778342854058,1194.8267237301666,1926.4017120963747,0.24088424159237642,0.45187505530354444,0.031232742891013743
2021-08-04,1810.5,1459.553787375751,1164.7166980175311,0.2404476050555446,1.6181307585859328,1247.4470774156139,1756.2837361366153,1195.511446336354,1927.5056803745133,0.24044760505554463,0.4513641763070906,0.03086987754190962
2021-08-05,1805.0999755859373,1460.39021784162,1166.3084461336027,0.2360394869350606,1.5913963979282133,1248.1619553112655,1757.2902144427394,1196.196561338391,1928.6102813067607,0.2360394869350606,0.44620653426003765,0.027206525564338335
2021-08-06,1760.0,1461.2271276429751,1167.900194249674,0.2044670994022392,1.397082501791535,1248.8772428839407,1758.2972695341286,1196.8820689611487,1929.7155152556745,0.20446709940223928,0.40926581057379274,0.0009683973781762223
