date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_q10,resistance_q90,support_q02,resistance_q98,dev_pct_vs_center,dev_pct_vs_support_q10,dev_pct_vs_resistance_q90
2021-06-24,117.1217041015625,128.66478787966795,128.6156633075718,-0.0897143963653908,-1.4623048982321851,118.22194979335511,140.1814144443975,113.3789556638212,144.00968052233,-0.0897143963653908,-0.00930661094420937,-0.16449905598563885
2021-06-25,118.79460906982422,128.68005160001192,128.63246595669708,-0.076821872600079,-1.2435149960721164,118.2359746622404,140.19804440153464,113.39240600016157,144.02676463311542,-0.076821872600079,0.004724741426453738,-0.15266571957601527
2021-06-28,119.14681243896484,128.72585362646814,128.68287390407295,-0.0744142759021773,-1.202996152471781,118.27805925244859,140.2479461109212,113.43276658375612,144.07802912673432,-0.07441427590217731,0.0073450071129592676,-0.15045591937059521
2021-06-29,118.33675384521484,128.74112459114454,128.69967655319823,-0.0808162176536195,-1.3109718079388697,118.29209077769355,140.26458396082205,113.44622330377659,144.09512134582982,-0.08081621765361957,0.00037756596597171566,-0.15633190857167456
2021-06-30,118.80339050292967,128.75639736744108,128.7164792023235,-0.0773010667276424,-1.2515922404519122,118.30612396752186,140.28122378449893,113.45968162019031,144.11221559260395,-0.07730106672764248,0.004203218892914862,-0.15310554543324817
2021-07-01,119.07638549804688,128.77167195557277,128.7332818514488,-0.0752905224440266,-1.217730802511817,118.32015882213108,140.2978655821861,113.47314153318675,144.1293118672973,-0.07529052244402668,0.006391359540453445,-0.1512601777373992
2021-07-02,119.65748596191406,128.78694835575456,128.75008450057408,-0.0708881024855231,-1.143841954044142,118.33419534171874,140.31450935411775,113.48660304295532,144.14641017015052,-0.07088810248552313,0.011182656174523409,-0.14721943929597947
2021-07-06,119.72791290283205,128.84807208128245,128.81729509707523,-0.0707822711751329,-1.142070026652146,118.39035807380438,140.3811041889736,113.54046505353988,144.21482366797431,-0.07078227117513292,0.011297835827085212,-0.14712230257385162
2021-07-07,120.62600708007812,128.86335754493973,128.8340977462005,-0.0639231401524589,-1.0276563018380296,118.4044029212474,140.39775783564124,113.55393455001098,144.23193211523636,-0.06392314015245892,0.018762850907734885,-0.1408266845593732
2021-07-08,120.60839080810548,128.87864482193743,128.8509003953258,-0.0641708641897839,-1.0317738493120865,118.41844943485444,140.41441345795917,113.56740564439123,144.24904259210246,-0.0641708641897839,0.018493244791689234,-0.1410540567887193
