date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_q10,resistance_q90,support_q02,resistance_q98,dev_pct_vs_center,dev_pct_vs_support_q10,dev_pct_vs_resistance_q90
2021-06-23,254.57872009277344,246.8554305026832,236.69380231702632,0.0312866910578508,0.2316216030726054,200.36657113326532,284.8944531007153,186.7220990411403,302.9011924854487,0.03128669105785087,0.27056483850018664,-0.10641040103797561
2021-06-24,255.9415740966797,246.9486754178036,236.82716743672412,0.0364160636361436,0.2689237077077352,200.4422557713559,285.00206652871873,186.79262974099464,303.01560761468306,0.03641606363614347,0.27688432317700395,-0.10196590075991852
2021-06-25,254.33876037597656,247.0419555544061,236.96053255642195,0.0295367028049755,0.2188527829844108,200.51796899786999,285.10972060563495,186.86318708247094,303.13006596204275,0.029536702804975556,0.268408819653855,-0.10792673138009534
2021-06-28,257.8896789550781,247.32200742617616,237.3606279155154,0.0427283913747802,0.3145759922292838,200.74528031596316,285.4329268834361,187.07501905728643,303.4737004761557,0.04272839137478024,0.2846612311341641,-0.09649639314249814
2021-06-29,260.4616394042969,247.41542858180088,237.4939930352132,0.052729980896008,0.3863470905840439,200.82110800420043,285.54074370960655,187.1456830659233,303.5883318593279,0.052729980896008,0.29698337984893985,-0.08783021287783366
2021-06-30,259.98175048828125,247.50888502547969,237.62735815491104,0.0503936069265456,0.3696425687298602,200.89696433489607,285.6486012615202,187.21637376653737,303.70300654231187,0.0503936069265456,0.2941049226353196,-0.08985463489016055
2021-07-01,260.6536560058594,247.60237677054167,237.76072327460884,0.0527106379411395,0.3862089452798668,200.97284931886904,285.7564995545601,187.28709116921084,303.81772454146284,0.052710637941139726,0.29695954896026344,-0.08784697316712398
2021-07-02,266.4598388671875,247.69590383032144,237.89408839430664,0.0757539173910597,0.5490077224108282,201.0487629669427,285.8644386041156,187.35783528403005,303.932485873143,0.07575391739105974,0.3253493079736083,-0.06788042553205054
2021-07-06,266.4693603515625,248.07036548348125,238.42754887309792,0.0741684514884404,0.5379187701821421,201.35270441685017,286.29660267547877,187.64107906661985,304.39196485260555,0.07416845148844042,0.32339598379520473,-0.06925420049916109
2021-07-07,268.6478881835937,248.164069317042,238.5609139927957,0.0825414368926333,0.5962964852192348,201.42876154791824,286.4047457386529,187.71195689359345,304.50694309257466,0.08254143689263338,0.3337116612300899,-0.06199917361447105
2021-07-08,266.2391052246094,248.2578085454328,238.69427911249355,0.0724299339647394,0.5257405260789233,201.5048474081122,286.5129296507998,187.78286149330992,304.62196476337374,0.07242993396473918,0.3212540971056119,-0.07076059168045234
2021-07-09,266.73809814453125,248.3515831820233,238.82764423219132,0.0740342168426282,0.5369791644105193,201.58096200828382,286.6211544273492,187.85379287588205,304.7370298814078,0.07403421684262823,0.3232306041558124,-0.06937051217501033
2021-07-12,266.14306640625,248.63311967476616,239.2277395912848,0.0704248362180726,0.5116703593677177,201.80947835724524,286.9460740977998,188.06674782191902,305.0824860830653,0.0704248362180726,0.3187837785057883,-0.07249796937266861
2021-07-13,269.65557861328125,248.72703607795395,239.3611047109826,0.0841426121797552,0.6074086756967337,201.8857080259286,287.0544624863756,188.13778643711947,305.19772515421556,0.08414261217975527,0.33568433966929856,-0.06061178677520174
2021-07-14,271.1239624023437,248.82098795626567,239.49446983068043,0.0896346189654955,0.6453990226147498,201.9619664889104,287.16289181659084,188.20885188579726,305.31300775471954,0.08963461896549552,0.3424505965940421,-0.05585307110116133
2021-07-15,269.7035827636719,248.9149753231018,239.62783495037823,0.083516901357926,0.6030681841184381,202.03825375706754,287.271362103911,188.27994417808856,305.42833390102004,0.083516901357926,0.33491345202362366,-0.06115395287430192
2021-07-16,269.4348449707031,249.00899819186725,239.7612000700761,0.0820285488763634,0.5927335556824902,202.1145698412804,287.3798733638065,188.35106332413287,305.5437036095655,0.08202854887636346,0.3330797734289468,-0.0624435809754359
2021-07-19,265.8455505371094,249.29127994386627,240.16129542916948,0.066405333539828,0.4833851672101822,202.34369109912092,287.70565313374027,188.56458198623778,305.8900742732502,0.06640533353982803,0.31383167467712725,-0.07598078924945284
2021-07-20,268.0625,249.38544495450137,240.2946605488673,0.0748923219994099,0.5429836425953661,202.420122556445,287.81432843876183,188.6358086487674,306.0056183953855,0.07489232199940998,0.3242878060468053,-0.06862698096340403
2021-07-21,270.05865478515625,249.47964553416708,240.4280256685651,0.0824877284354279,0.5959234625444116,202.4965828842893,287.92304479380005,188.70706221580562,306.1212061621017,0.08248772843542795,0.3336454913882341,-0.062045710934453435
2021-07-22,274.6075744628906,249.5738816962994,240.5613907882629,0.1003057395126552,0.7186709274157038,202.57307209355952,288.0318022143612,188.7783426975155,306.23683758988517,0.1003057395126552,0.3555976202802591,-0.0466067553939058
2021-07-23,277.9953918457031,249.6681534543387,240.69475590796077,0.1134595582153217,0.8080182809431048,202.64959019516488,288.1406007159569,188.84965010406333,306.35251269522786,0.11345955821532172,0.37180337536323305,-0.03520923065005588
2021-07-26,277.4002380371094,249.95118243838024,241.0948512670542,0.1098176665177252,0.7833868239596962,202.87931796314737,288.4672428621555,189.06373397445705,306.69980024162516,0.10981766651772529,0.36731649545223033,-0.03836485805195744
2021-07-27,274.991455078125,250.04559671455493,241.228216386752,0.0997652375860373,0.7149767574861061,202.95595174326974,288.5762058431234,189.1351491820986,306.8156502222504,0.09976523758603739,0.35493171161581394,-0.04707508966412621
2021-07-28,274.68438720703125,250.1400466539156,241.36158150644985,0.0981223953598853,0.7037372635251721,203.03261447033594,288.68520998277205,189.20659136546809,306.93154396298866,0.09812239535988532,0.3529076987144053,-0.04849858008512575
2021-07-29,274.9531555175781,250.2345322699336,241.4949466261476,0.0987818228899759,0.7082507512985926,203.1093061552804,288.79425529664877,189.27806053475535,307.04748148037,0.09878182288997595,0.3537201259866052,-0.04792719912261789
2021-07-30,273.4271545410156,250.32905357608507,241.62831174584545,0.092270955508207,0.66356762057038,203.18602680904135,288.90334180030624,189.34955670015376,307.16346279093005,0.09227095550820708,0.3456986134090234,-0.05356873742910162
2021-08-02,273.3408203125,250.61283177017776,242.02840710493888,0.0906896441885494,0.6526751131543074,203.4163626926675,289.2308486055781,189.56420727500716,307.5116696471333,0.09068964418854941,0.34375040775592947,-0.05493891253193128
2021-08-03,275.5481262207031,250.7074959717264,242.1617722246367,0.0990821201922822,0.7103052550325658,203.49319933115967,289.3401000240034,189.63581152686106,307.6278262958907,0.09908212019228224,0.3540900979805379,-0.047666997426751734
2021-08-04,274.9626770019531,250.8021959308657,242.2951373443345,0.0963328131215697,0.6914746979753914,203.57006499322173,289.44939271006143,189.7074428258509,307.7440268205995,0.09633281312156972,0.3507028993241641,-0.050049217835531956
2021-08-05,277.85137939453125,250.89693166110223,242.42850246403236,0.1074323530183207,0.7672102230249129,203.64695968981658,289.55872667934005,189.77910118219307,307.86027123783265,0.10743235301832077,0.36437774380594035,-0.04043168520275209
2021-08-06,277.7937927246094,250.99170317594823,242.56186758373013,0.1067847630400458,0.7628124153407032,203.72388343191184,289.66810194743357,189.85078660610827,307.97655956417026,0.1067847630400458,0.36357990062295764,-0.04099280915983994
2021-08-09,276.7093200683594,251.27623256333663,242.9619629428236,0.1012156511802686,0.7248858060897216,203.95482904093316,289.99647570063007,190.06600538555284,308.3256881636975,0.10121565118026865,0.35671864877896375,-0.04581833486137721
2021-08-10,274.8955078125,251.37114735184025,243.0953280625214,0.0935841710891864,0.6726014317793871,204.03186907478448,290.10601632003977,190.13779918204074,308.4421522923728,0.09358417108918649,0.347316520007674,-0.05243086200170288
2021-08-11,275.3850402832031,251.46609799258897,243.2286931822192,0.0951179601606537,0.6831388776084758,204.1089382090344,290.2155983163223,190.20962009726142,308.558660413144,0.09511796016065377,0.3492061773462005,-0.051101863990627217
