date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend
2021-06-24,124.33839416503906,149.40709988991895,149.82858948453708,-0.16778791465298615,-2.4286814882777414
2021-06-25,124.97005462646484,149.40671788034925,149.8282088712777,-0.16355799525329406,-2.3616415107499606
2021-06-28,125.50775146484376,149.40557185750043,149.82706703149958,-0.15995267174807815,-2.3047678386125825
2021-06-29,125.42239379882812,149.40518985183766,149.8266864182402,-0.1605218404848776,-2.3137301826261276
2021-06-30,126.47229766845705,149.4048078471515,149.82630580498085,-0.15349245120783217,-2.2034662755365324
2021-07-01,126.49788665771484,149.40442584344217,149.82592519172147,-0.1533190135192556,-2.2007572985574306
2021-07-02,127.10393524169922,149.4040438407096,149.8255445784621,-0.14926040839153,-2.137522619375575
2021-07-06,127.291748046875,149.40251583954623,149.8240221254246,-0.14799461487260046,-2.1178627560191834
2021-07-07,127.85509490966795,149.40213384169707,149.82364151216524,-0.14422176161727274,-2.059436920647648
2021-07-08,127.9148406982422,149.40175184482476,149.82326089890586,-0.1438196733389031,-2.053225437279508
2021-07-09,127.5904541015625,149.40136984892914,149.82288028564648,-0.14598872667246143,-2.086767738113026
2021-07-12,127.61607360839844,149.40022386710234,149.82173844586836,-0.14581069355077947,-2.084011421525839
2021-07-13,130.5608673095703,149.3998418751135,149.821357832609,-0.12609768744796324,-1.7823136609312002
2021-07-14,131.90948486328125,149.39945988410125,149.82097721934963,-0.11706852912579535,-1.6463923442466202
2021-07-15,132.5155029296875,149.39907789406578,149.82059660609025,-0.1130099007461739,-1.5857475981618028
2021-07-16,133.0020294189453,149.39869590500703,149.82021599283087,-0.10975106835261328,-1.5372540653663447
2021-07-19,132.9849853515625,149.3975499436907,149.81907415305275,-0.10985832497463477,-1.5388472861982114
2021-07-20,133.0020294189453,149.39716795853866,149.8186935397934,-0.10974196340952991,-1.5371188267518967
2021-07-21,132.50698852539062,149.39678597436315,149.81831292653402,-0.11305328517489566,-1.586394387558578
2021-07-22,132.46429443359375,149.39640399116445,149.81793231327464,-0.11333679462975621,-1.5906218192269492
2021-07-23,134.16290283203125,149.39602200894242,149.81755170001526,-0.101964690706419,-1.4221027737361025
2021-07-26,134.06903076171875,149.3948760681362,149.81640986023714,-0.10258615094287182,-1.431256699932466
2021-07-27,134.81161499023438,149.39449408982082,149.8160292469778,-0.09761322991474342,-1.3581839542867724
2021-07-28,133.57394409179688,149.39411211248196,149.8156486337184,-0.10589552557984183,-1.48010982258939
2021-07-29,133.84706115722656,149.3937301361199,149.81526802045903,-0.10406506996463649,-1.4530662590769028
2021-07-30,133.96656799316406,149.39334816073446,149.81488740719965,-0.10326283169564221,-1.4412312198919255
2021-08-02,133.4288330078125,149.39220224043797,149.81374556742153,-0.10685543819036392,-1.4943139258993925
2021-08-03,133.72760009765625,149.39182026895912,149.81336495416218,-0.10485326534680162,-1.4647044554589075
2021-08-04,131.49124145507812,149.3914382984568,149.8129843409028,-0.11982076782484241,-1.6876756078932489
2021-08-05,131.71315002441406,149.39105632893123,149.81260372764342,-0.11833309663192759,-1.6653447075441836
2021-08-06,131.73023986816406,149.3906743603823,149.81222311438404,-0.1182164453559873,-1.6635952903689255
2021-08-09,131.747314453125,149.38952846059516,149.81108127460593,-0.11809538586316437,-1.6617800079384704
2021-08-10,131.81558227539062,149.38914649595273,149.81070066134657,-0.11763615117138515,-1.6548960662608514
2021-08-11,132.3362579345703,149.38876453228693,149.8103200480872,-0.11414852148423194,-1.6027330215085354
2021-08-12,132.3618927001953,149.3883825695976,149.8099394348278,-0.1139746583806136,-1.6001379994271532
2021-08-13,133.5995635986328,149.38800060788506,149.80955882156843,-0.10568745110053301,-1.4770328956909209
2021-08-16,134.90550231933594,149.3868547286069,149.80841698179032,-0.0969385990191669,-1.3483018740457478
2021-08-17,134.7774658203125,149.3864727708008,149.80803636853096,-0.0977933723149248,-1.3608239531341504
2021-08-18,133.39466857910156,149.38609081397126,149.80765575527158,-0.10704759825855292,-1.4971592075870976
2021-08-19,135.6395721435547,149.38570885811822,149.8072751420122,-0.09201774935257812,-1.2764431662858662
2021-08-20,135.1615753173828,149.3853269032419,149.80689452875285,-0.09521518532453943,-1.3230905681553105
2021-08-23,134.7347869873047,149.38418104447237,149.8057526889747,-0.0980652298974447,-1.3648090422441845
2021-08-24,133.061767578125,149.3837990935024,149.80537207571535,-0.10926239401075288,-1.5299975843070157
2021-08-25,132.4728240966797,149.38341714350906,149.80499146245597,-0.11320261224566697,-1.588620846740541
2021-08-26,131.98635864257812,149.38303519449215,149.8046108491966,-0.11645684216593999,-1.6372345898825231
2021-08-27,132.2509307861328,149.38265324645195,149.80423023593724,-0.11468347956074376,-1.6107208210973771
2021-08-30,133.1556854248047,149.38150740819069,149.8030883961591,-0.10862001773116614,-1.5204647880009228
2021-08-31,133.4885711669922,149.3811254640568,149.80270778289974,-0.10638930619711107,-1.4874145309139704
2021-09-01,134.78599548339844,149.38074352089944,149.80232716964036,-0.09770166952917259,-1.3594799768517902
2021-09-02,134.8848419189453,149.38036157871855,149.80194655638098,-0.09703765278499865,-1.3497523638818876
2021-09-03,135.005126953125,149.37997963751437,149.80156594312163,-0.09623011543629478,-1.3379318594746599
2021-09-07,132.8050537109375,149.37845188246303,149.80004349008414,-0.1109490556547349,-1.555060226004181
2021-09-08,134.68716430664062,149.3780699461416,149.79966287682475,-0.09834713786834848,-1.3689427261664142
2021-09-09,133.8363800048828,149.3776880107966,149.79928226356537,-0.10404035711672344,-1.4527015240288885
2021-09-10,133.60430908203125,149.37730607642828,149.79890165030602,-0.10559165517636826,-1.4756165423638998
2021-09-13,133.86212158203125,149.37616027918241,149.79775981052788,-0.10385886655645449,-1.4500232268127478
2021-09-14,133.337890625,149.37577834872027,149.79737919726853,-0.10736605292378498,-1.5018758604937767
2021-09-15,134.08554077148438,149.37539641923465,149.79699858400915,-0.10235859461646546,-1.4279041268785113
2021-09-16,133.69021606445312,149.37501449072542,149.79661797074976,-0.10500282446664566,-1.4669139458199805
2021-09-17,132.46127319335938,149.37463256319285,149.7962373574904,-0.11322778894654872,-1.5889962670293372
2021-09-20,132.01437377929688,149.37348678645415,149.79509551771227,-0.11621281246499948,-1.6335829149430046
2021-09-21,131.95423889160156,149.3731048628277,149.79471490445292,-0.11661313452125277,-1.6395738878417307
2021-09-22,132.358154296875,149.3727229401777,149.79433429119354,-0.11390679843278262,-1.5991252828786693
2021-09-23,132.46127319335938,149.37234101850413,149.79395367793416,-0.11321418483392331,-1.5887934091076592
2021-09-24,132.52146911621094,149.3719590978072,149.7935730646748,-0.1128089240000042,-1.5827517830946032
2021-09-27,131.24952697753906,149.3708133415753,149.7924312248967,-0.12131745123859772,-1.7101799071156307
2021-09-28,129.81427001953125,149.37043142478439,149.7920506116373,-0.13092391324517705,-1.85554279468044
2021-09-29,130.88856506347656,149.37004950896997,149.79166999837793,-0.12372951944682564,-1.7465288274723754
2021-09-30,129.26426696777344,149.36966759413204,149.79128938511855,-0.1346016293012654,-1.9116189323225423
2021-10-01,129.7283477783203,149.3692856802705,149.7909087718592,-0.13149248061607677,-1.8641965257143573
2021-10-04,129.0837860107422,149.36813994454502,149.78976693208108,-0.13580107472271985,-1.929959075340804
2021-10-05,129.8486785888672,149.36775803458954,149.7893863188217,-0.13067799706280836,-1.8518016454675423
