date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend
2021-06-24,117.1217041015625,128.66478787966795,128.6156633075718,-0.0897143963653908,-1.4623048982321851
2021-06-25,118.79460906982422,128.68005160001192,128.63246595669708,-0.076821872600079,-1.2435149960721164
2021-06-28,119.14681243896484,128.72585362646814,128.68287390407295,-0.07441427590217731,-1.202996152471781
2021-06-29,118.33675384521484,128.74112459114454,128.69967655319823,-0.08081621765361957,-1.3109718079388697
2021-06-30,118.80339050292967,128.75639736744108,128.7164792023235,-0.07730106672764248,-1.2515922404519122
2021-07-01,119.07638549804688,128.77167195557277,128.7332818514488,-0.07529052244402668,-1.217730802511817
2021-07-02,119.65748596191406,128.78694835575456,128.75008450057408,-0.07088810248552313,-1.143841954044142
2021-07-06,119.72791290283205,128.84807208128245,128.81729509707523,-0.07078227117513292,-1.142070026652146
2021-07-07,120.62600708007812,128.86335754493973,128.8340977462005,-0.06392314015245892,-1.0276563018380296
2021-07-08,120.60839080810548,128.87864482193743,128.8509003953258,-0.0641708641897839,-1.0317738493120865
2021-07-09,120.65241241455078,128.8939339124904,128.86770304445108,-0.0639403364283615,-1.0279420947062563
2021-07-12,120.7492904663086,128.93981206763334,128.91811099182695,-0.06352205319663828,-1.020991940970309
2021-07-13,120.59960174560548,128.95510841455962,128.93491364095223,-0.06479391760187736,-1.0421347576394204
2021-07-14,121.48887634277344,128.97040657611728,128.9517162900775,-0.058009666185926956,-0.9296875676874258
2021-07-15,122.52788543701172,128.9857065525216,128.9685189392028,-0.05006617623077736,-0.7990510248853012
2021-07-16,123.71651458740234,129.00100834398788,128.98532158832808,-0.040964747674639534,-0.6507075457523518
2021-07-19,123.6548843383789,129.0469246109119,129.03572953570392,-0.041783562752777614,-0.6639955949450278
2021-07-20,122.99451446533205,129.06223366477948,129.05253218482923,-0.04701390195374633,-0.7491444327780529
2021-07-21,122.56309509277344,129.0775445347859,129.0693348339545,-0.050469269968618224,-0.8056538434376628
2021-07-22,122.09347534179688,129.09285722114657,129.0861374830798,-0.054219745615818105,-0.8672226783883209
2021-07-23,123.8566665649414,129.108171724077,129.10294013220508,-0.04067523448754917,-0.6460119279791949
2021-07-26,124.29080200195312,129.15412613444204,129.15334807958092,-0.037655197538377316,-0.5971142315554544
2021-07-27,124.79589080810548,129.1694479058069,129.17015072870623,-0.033859067826090716,-0.5358679576158933
2021-07-28,122.9440460205078,129.18477149481916,129.18695337783151,-0.04830852276238795,-0.7702927433705012
2021-07-29,123.5819854736328,129.2000969016946,129.2037560269568,-0.043483801969099845,-0.6916240437464262
