date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend
2021-06-24,371.4484252929688,391.59631570452405,339.89551843028244,-0.05145066386875219,-0.4470699682472265
2021-06-25,373.7601318359375,391.8202187273991,340.2845691249618,-0.04609278957099083,-0.39939681456561354
2021-06-28,375.6833801269531,392.4926962150399,341.4517212089999,-0.04282707996909396,-0.37047043713432587
2021-06-29,377.81494140625,392.71711176139365,341.84077190367924,-0.03794632296083367,-0.32742205551048303
2021-06-30,374.8591003417969,392.9416556218228,342.2298225983586,-0.04601842289133384,-0.398737002434992
2021-07-01,373.7789306640625,393.1663278696936,342.618873293038,-0.04931092983134766,-0.4279988809206355
2021-07-02,377.95709228515625,393.39112857841405,343.00792398771733,-0.039233310494396045,-0.33875207485260844
2021-07-06,377.88128662109375,394.29161749142384,344.5641267664348,-0.041619781254129795,-0.35980163768007084
2021-07-07,383.3952026367188,394.51706160698393,344.9531774611142,-0.02819107220600936,-0.24203118020702893
2021-07-08,385.7353210449219,394.7426346247246,345.3422281557935,-0.02281819289260667,-0.19536595448189784
2021-07-09,390.6807861328125,394.9683366183481,345.7312788504729,-0.010855428367359421,-0.09238041061903245
2021-07-12,386.4269104003906,395.6462171921721,346.898430934511,-0.023301895459052258,-0.1995565475722987
2021-07-13,385.6500549316406,395.87243582719435,347.2874816291904,-0.025822411389147537,-0.22142686318312424
2021-07-14,388.3879699707031,396.098783807244,347.67653232386976,-0.019466896016255397,-0.16638859309122594
2021-07-15,390.1596374511719,396.32526120627676,348.0655830185491,-0.015556978973126467,-0.13270597833389644
2021-07-16,388.7859497070313,396.55186809829047,348.4546337132285,-0.019583613181552995,-0.16739613538166964
2021-07-19,392.3670654296875,397.2324664728311,349.62178579726657,-0.01224824618779341,-0.10430670300287274
2021-07-20,394.3471984863281,397.45959207759415,350.01083649194595,-0.007830717017035527,-0.06653842045540777
2021-07-21,393.1818542480469,397.6868475459628,350.3998871866253,-0.01132799167414067,-0.09642494891305824
2021-07-22,395.5788269042969,397.914232952189,350.78893788130466,-0.005869119158079417,-0.04982134889977117
2021-07-23,401.1589660644531,398.14174837056754,351.17798857598405,0.007578249973115847,0.06389891256494751
2021-07-26,400.9695739746094,398.8250754421995,352.34514066002214,0.0053770403729809235,0.045388231321215666
2021-07-27,402.0211181640625,399.0531116529825,352.73419135470147,0.007437622773534436,0.06271754289317637
2021-07-28,400.0127258300781,399.2812782480284,353.12324204938085,0.0018319105400061986,0.015490724656911687
2021-07-29,403.6669921875,399.5095753018864,353.51229274406023,0.010406300981577354,0.0876216414447527
2021-07-30,407.8813781738281,399.7380028891498,353.90134343873956,0.02037178158148878,0.1706897317534443
2021-08-02,407.1219787597656,400.42406959793414,355.06849552277765,0.016727039332467886,0.14040315789741162
2021-08-03,412.95941162109375,400.6530200655952,355.45754621745704,0.030715833749322075,0.25605970230985137
2021-08-04,412.9309997558594,400.8821014402637,355.8465969121364,0.030055964764471144,0.2506394089986622
2021-08-05,420.666748046875,401.11131379678824,356.23564760681575,0.048753135544797876,0.40289314444961294
2021-08-06,417.2876892089844,401.3406572100604,356.62469830149513,0.03973440445775056,0.3297941827110584
2021-08-09,418.0850830078125,402.0294745399198,357.7918503855332,0.039936396420353626,0.33143830628286564
2021-08-10,420.514892578125,402.2593429299541,358.1809010802126,0.04538253733325903,0.37564747358218303
2021-08-11,421.7202758789063,402.48934275183626,358.56995177489193,0.047779980944557154,0.39503581244710884
2021-08-12,422.72650146484375,402.71947408071503,358.9590024695713,0.04967981106401331,0.41036842646723204
2021-08-13,425.0614929199219,402.94973699178223,359.3480531642507,0.05487472480616251,0.45215280993382057
2021-08-16,429.8453674316406,403.6413159706769,360.5152052482888,0.0649191508008744,0.5323630286230001
2021-08-17,429.3517761230469,403.8721059632755,360.9042559429681,0.06308846237102661,0.5178005156127767
2021-08-18,423.53326416015625,404.1030279146667,361.2933066376475,0.048082382222566666,0.39747820702011405
2021-08-19,431.1742858886719,404.33408190030053,361.6823573323269,0.06638125547623153,0.543975611488959
2021-08-20,435.6637878417969,404.5652679956702,362.0714080270062,0.07686898086975558,0.6268092719405832
