date,price,trend_5y,cagr_5y,dev_pct_5y,dev_sigma_5y,n_5y,trend_10y,cagr_10y,dev_pct_10y,dev_sigma_10y,n_10y
2025-04-29,292.0299987792969,283.96419912354287,0.11452253358736142,0.028404283640857342,0.07866783406343497,1257,459.1686950676132,0.4832755254151371,-0.3640028122206914,-0.8085959987258519,2516
2025-04-30,282.1600036621094,283.532174228641,0.11331616676477596,-0.004839558580131742,-0.013681103495689816,1257,459.51007572346765,0.48329865352626666,-0.38595469703712704,-0.8713934312602603,2516
2025-05-01,280.5199890136719,283.08373522401615,0.11207686366168468,-0.009056494214743527,-0.02576622815261979,1257,459.836615791212,0.4833094635235089,-0.3899572600781286,-0.8830965426630032,2516
2025-05-02,287.2099914550781,282.6070961622282,0.11074558465708173,0.016287260140869453,0.04599450900161738,1257,460.1800090942383,0.48332819874159894,-0.3758746886454565,-0.8423459491647824,2516
2025-05-05,280.260009765625,282.30623827363496,0.10947482436390499,-0.0072482582054265166,-0.020806169666191057,1257,461.50461450582833,0.48334288103369216,-0.3927254442174476,-0.8912787670777466,2516
2025-05-06,275.3500061035156,281.83056956127456,0.10819332306739127,-0.022994536993794612,-0.06684296136747563,1257,461.82511361868774,0.4833546448946844,-0.40377862098928174,-0.9241247410598495,2516
2025-05-07,276.2200012207031,281.3656566657883,0.10693308045128491,-0.018288143286788183,-0.05327703695756116,1257,462.1435705567408,0.48336330983774123,-0.402306947843193,-0.9197351280709936,2516
2025-05-08,284.82000732421875,280.9263242479183,0.1057001268176776,0.013860157415736873,0.03991784774142294,1257,462.4942669330908,0.4833921019784795,-0.384165323360811,-0.8663489426058426,2516
2025-05-09,298.260009765625,280.54959903174836,0.10456588809251799,0.06312755674932347,0.1782921690992504,1257,462.87828724391665,0.48343655670589025,-0.35564052584636574,-0.7854951365707961,2516
2025-05-12,318.3800048828125,280.3781131576892,0.10348966534986093,0.13553801078527994,0.3718524485162589,1257,464.3132627583502,0.48350610775337777,-0.3142991372001537,-0.6744360691264285,2516
2025-05-13,334.07000732421875,280.09467850635343,0.10245941351753429,0.1927038710827953,0.5178568682305177,1257,464.7909535794564,0.48359995828715263,-0.28124675243467445,-0.5903806802608973,2516
2025-05-14,347.67999267578125,279.83532725828354,0.10144447192943207,0.24244496247923042,0.6409173502597842,1257,465.29561293473455,0.48370527224025883,-0.25277612122135107,-0.5210195775726445,2516
2025-05-15,342.82000732421875,279.5689366480089,0.100428362201324,0.22624498785373315,0.6049719924765071,1257,465.7910104111475,0.4838065047165385,-0.2640046723494811,-0.5481823792102447,2516
2025-05-16,349.9800109863281,279.3172502002392,0.09942588140838815,0.2529838767044701,0.672127665022328,1257,466.3086482001638,0.4839214373487539,-0.24946703790040248,-0.5132982074078497,2516
