ticker,trend_window,horizon_years,price_today,trend_today,trend_cagr,future_trend_price,total_return_if_revert_to_trend,annualized_return_if_revert_to_trend
QQQ,5y,1,713.6500244140625,622.1954329904138,0.17732404922867784,732.5256465798644,0.026449410103081883,0.026449410103081883
QQQ,5y,2,713.6500244140625,622.1954329904138,0.17732404922867784,862.4200603952614,0.2084635758309481,0.09930140354269912
QQQ,5y,3,713.6500244140625,622.1954329904138,0.17732404922867784,1015.34787764059,0.4227532304426591,0.12471682892855362
QQQ,10y,1,713.6500244140625,649.3401503765025,0.19280699347100594,774.5374725106068,0.08531835775741126,0.08531835775741126
QQQ,10y,2,713.6500244140625,649.3401503765025,0.19280699347100594,923.8737139160088,0.2945753272755074,0.13779406189147747
QQQ,10y,3,713.6500244140625,649.3401503765025,0.19280699347100594,1102.0030270430468,0.5441785039492417,0.15584385249321553
GOOG,5y,1,346.0799865722656,257.77969048917544,0.22064112735004726,314.65649200665337,-0.09079835813924086,-0.09079835813924086
GOOG,5y,2,346.0799865722656,257.77969048917544,0.22064112735004726,384.0826551310125,0.10980891710943075,0.05347468745548456
GOOG,5y,3,346.0799865722656,257.77969048917544,0.22064112735004726,468.82708515471853,0.35467840772359094,0.10648467403453932
GOOG,10y,1,346.0799865722656,255.6130614886231,0.21782958344155667,311.2931481949109,-0.10051675834219564,-0.10051675834219564
GOOG,10y,2,346.0799865722656,255.6130614886231,0.21782958344155667,379.1020049944191,0.09541730150078487,0.0466218521991526
GOOG,10y,3,346.0799865722656,255.6130614886231,0.21782958344155667,461.6816368242123,0.3340315959813749,0.10083451713993763
GOOGL,5y,1,346.1300048828125,256.9362724189297,0.22192706427280529,313.95738506206055,-0.09294952580503524,-0.09294952580503524
GOOGL,5y,2,346.1300048828125,256.9362724189297,0.22192706427280529,383.6330258356503,0.1083495230803091,0.05278180221749129
GOOGL,5y,3,346.1300048828125,256.9362724189297,0.22192706427280529,468.7715770174495,0.35432227892568613,0.10638770499497419
GOOGL,10y,1,346.1300048828125,252.2070087076862,0.21438996437855762,306.2776603205496,-0.1151369254328457,-0.1151369254328457
GOOGL,10y,2,346.1300048828125,252.2070087076862,0.21438996437855762,371.94051700662027,0.07456883760350763,0.03661412184260149
GOOGL,10y,3,346.1300048828125,252.2070087076862,0.21438996437855762,451.6808311986119,0.3049456124196317,0.09277513328970666
MSFT,5y,1,373.9400024414063,491.9657928129932,0.14790684335199478,564.7309002651244,0.510217940252631,0.510217940252631
MSFT,5y,2,373.9400024414063,491.9657928129932,0.14790684335199478,648.2584650666693,0.7335895085689492,0.31665846314408697
MSFT,5y,3,373.9400024414063,491.9657928129932,0.14790684335199478,744.1403283108897,0.9899992604495185,0.2578175161278413
MSFT,10y,1,373.9400024414063,629.5552810562999,0.2665670771829016,797.373992252538,1.1323580976803376,1.1323580976803376
MSFT,10y,2,373.9400024414063,629.5552810562999,0.2665670771829016,1009.9276467889587,1.7007745632862776,0.6434033477166454
MSFT,10y,3,373.9400024414063,629.5552810562999,0.2665670771829016,1279.1411077596972,2.420712144751428,0.5067418227463971
AAPL,5y,1,294.29998779296875,267.62730633436047,0.15095754475727374,308.0276674085983,0.04664519260968003,0.04664519260968003
AAPL,5y,2,294.29998779296875,267.62730633436047,0.15095754475727374,354.5267677979104,0.20464418111804128,0.09756283697929624
AAPL,5y,3,294.29998779296875,267.62730633436047,0.15095754475727374,408.0452582154151,0.38649430900575754,0.11508001034720383
AAPL,10y,1,294.29998779296875,349.57390955029257,0.2881987900093981,450.3206873015417,0.5301417124703682,0.5301417124703682
AAPL,10y,2,294.29998779296875,349.57390955029257,0.2881987900093981,580.1025644980465,0.9711267025472365,0.40396819855267263
AAPL,10y,3,294.29998779296875,349.57390955029257,0.2881987900093981,747.2874216677322,1.5392030331765647,0.3642662729060293
NVDA,5y,1,200.0399932861328,257.4893106501622,0.8225839096256147,469.2958744915771,1.3460102491620591,1.3460102491620591
NVDA,5y,2,200.0399932861328,257.4893106501622,0.8225839096256147,855.3311097020303,3.275800531939548,1.067800892721431
NVDA,5y,3,200.0399932861328,257.4893106501622,0.8225839096256147,1558.9127179451418,6.793005250281664,0.9825994876492181
NVDA,10y,1,200.0399932861328,192.6957186520723,0.6202176929746672,312.20901272055613,0.5607329694016696,0.5607329694016696
NVDA,10y,2,200.0399932861328,192.6957186520723,0.6202176929746672,505.8465663159979,1.5287271710334749,0.5901972113651421
NVDA,10y,3,200.0399932861328,192.6957186520723,0.6202176929746672,819.5815566756631,3.097088503214213,0.6001417196361953
AMZN,5y,1,234.1100006103516,229.52529661168847,0.1442599054619822,262.63659420202407,0.121851238807827,0.121851238807827
AMZN,5y,2,234.1100006103516,229.52529661168847,0.1442599054619822,300.524524452465,0.2836893924606516,0.13300017319533164
AMZN,5y,3,234.1100006103516,229.52529661168847,0.1442599054619822,343.8781639389848,0.46887430285957477,0.13674105225707267
AMZN,10y,1,234.1100006103516,258.96106311965633,0.17577806846422983,304.48073860227305,0.30058834653990374,0.30058834653990374
AMZN,10y,2,234.1100006103516,258.96106311965633,0.17577806846422983,358.00177471834263,0.5292032539617744,0.23660958024825862
AMZN,10y,3,234.1100006103516,258.96106311965633,0.17577806846422983,420.9306351850993,0.7980036482323902,0.21599052110038208
META,5y,1,562.2000122070312,760.5640476060066,0.3405459869462035,1019.5710818337935,0.8135379930556361,0.8135379930556361
META,5y,2,562.2000122070312,760.5640476060066,0.3405459869462035,1366.781922158691,1.4311310787652047,0.5592084782880078
META,5y,3,562.2000122070312,760.5640476060066,0.3405459869462035,1832.2340207804518,2.25904301137889,0.4826206022389663
META,10y,1,562.2000122070312,577.7592917275502,0.17551511263242836,679.1647788895433,0.20804831757890385,0.20804831757890385
META,10y,2,562.2000122070312,577.7592917275502,0.17551511263242836,798.3684615523198,0.4200790541041808,0.1916706986849097
META,10y,3,562.2000122070312,577.7592917275502,0.17551511263242836,938.4941920038538,0.6693243892322283,0.18626098251201562
TSLA,5y,1,381.6099853515625,339.73788963118193,0.0981932275809172,373.0978495455971,-0.022305851871573745,-0.022305851871573745
TSLA,5y,2,381.6099853515625,339.73788963118193,0.0981932275809172,409.7335315959787,0.07369709212013165,0.03619355919641376
TSLA,5y,3,381.6099853515625,339.73788963118193,0.0981932275809172,449.96658951151556,0.17912687503965286,0.056461105302394454
TSLA,10y,1,381.6099853515625,666.4008962774459,0.4836587026318351,988.7114892036875,1.590895225901455,1.590895225901455
TSLA,10y,2,381.6099853515625,666.4008962774459,0.4836587026318351,1466.9104053491326,2.8440042495159683,0.9606132330258226
TSLA,10y,3,381.6099853515625,666.4008962774459,0.4836587026318351,2176.3943888774334,4.703190357748122,0.7866491996448333
