month,end_month,horizon_months,gold_start,gold_end,spy_start,spy_end,qqq_start,qqq_end,gold_total_return,spy_total_return,qqq_total_return,gold_cagr,spy_cagr,qqq_cagr,gold_minus_spy_cagr,gold_minus_qqq_cagr,beats_spy,beats_qqq,beats_both,z_full_money,z_roll10_money,pct_rt_ratio
1999-03,2000-03,12,279.45,276.75,79.7780380249023,94.4661254882812,44.2120170593262,92.2685470581055,-0.009661835748792202,0.18411191634963608,1.0869562891531124,-0.009661835748792202,0.18411191634963608,1.0869562891531124,-0.1937737520984283,-1.0966181249019047,False,False,False,-1.5264000683790944,-1.159332775437493,0.018127
1999-03,2002-03,36,279.45,301.4,79.7780380249023,73.6519088745117,44.2120170593262,30.385425567627,0.07854714617999647,-0.0767896692129525,-0.31273378622707704,0.02552529764881739,-0.026281207442631516,-0.11751296954897694,0.05180650509144891,0.14303826719779433,True,True,True,-1.5264000683790944,-1.159332775437493,0.018127
1999-04,2000-04,12,286.6,275.05,82.8075637817383,91.1484451293945,45.265308380127,79.8396911621094,-0.04030006978367062,0.10072608064694255,0.7638163533899998,-0.04030006978367062,0.10072608064694255,0.7638163533899998,-0.14102615043061317,-0.8041164231736704,False,False,False,-1.476070384287885,-0.6678084201008547,0.01506
1999-04,2002-04,36,286.6,308.2,82.8075637817383,69.3686447143555,45.265308380127,26.7368068695068,0.07536636427076049,-0.16229096055530268,-0.4093311671495171,0.024516167216172224,-0.057319766750763224,-0.16096253825920914,0.08183593396693545,0.18547870547538137,True,True,True,-1.476070384287885,-0.6678084201008547,0.01506
1999-05,2000-05,12,268.6,272.25,80.9141082763672,89.7153854370117,43.8433494567871,70.0440292358398,0.013588979895755582,0.10877308479484427,0.5975975855785522,0.013588979895755582,0.10877308479484427,0.5975975855785522,-0.09518410489908868,-0.5840086056827967,False,False,False,-1.6575911508453998,-1.3930901296239988,0.015015
1999-05,2002-05,36,268.6,326.6,80.9141082763672,68.9570770263672,43.8433494567871,25.3127574920654,0.21593447505584518,-0.14777436845945346,-0.42265456892124154,0.06734148733859291,-0.051905710795672855,-0.16731914827199912,0.11924719813426576,0.23466063561059203,True,True,True,-1.6575911508453998,-1.3930901296239988,0.015015
1999-06,2000-06,12,261.0,288.15,85.3949737548828,91.4810943603516,48.5568542480469,78.7337493896484,0.1040229885057471,0.07127024387803393,0.6214754973097396,0.1040229885057471,0.07127024387803393,0.6214754973097396,0.03275274462771316,-0.5174525088039925,True,False,False,-1.7427397349030704,-1.6074274105959685,0.002994
1999-06,2002-06,36,261.0,318.5,85.3949737548828,63.8675079345703,48.5568542480469,21.9927787780762,0.22030651340996177,-0.25209289111212574,-0.5470715902284626,0.06861920863696613,-0.09228560992101253,-0.23203188780111295,0.16090481855797867,0.3006510964380791,True,True,True,-1.7427397349030704,-1.6074274105959685,0.002994
1999-07,2000-07,12,255.6,276.75,82.7459182739258,90.0445709228516,47.6878852844238,75.3631591796875,0.08274647887323949,0.08820559129894501,0.580341814911705,0.08274647887323949,0.08820559129894501,0.580341814911705,-0.005459112425705515,-0.4975953360384655,False,False,False,-1.8102974181619533,-1.68706214619801,0.002985
1999-07,2002-07,36,255.6,304.65,82.7459182739258,58.8334655761719,47.6878852844238,20.0968418121338,0.19190140845070425,-0.2889864925855682,-0.5785755293557127,0.060262605059715035,-0.10746357204890733,-0.2502670754533821,0.16772617710862237,0.31052968051309715,True,True,True,-1.8102974181619533,-1.68706214619801,0.002985
1999-08,2000-08,12,254.8,277.0,82.3173675537109,95.9282379150391,50.2947731018066,85.6328048706055,0.08712715855572983,0.16534627826196346,0.7026183754178135,0.08712715855572983,0.16534627826196346,0.7026183754178135,-0.07821911970623363,-0.6154912168620836,False,False,False,-1.8262396362500493,-1.5586225464731556,0.002976
1999-08,2002-08,36,254.8,312.8,82.3173675537109,59.2336082458496,50.2947731018066,19.7935009002686,0.2276295133437991,-0.28042392503379643,-0.6064501402520968,0.07075252427222911,-0.10389499074731012,-0.2671756007500731,0.17464751501953923,0.3379281250223022,True,True,True,-1.8262396362500493,-1.5586225464731556,0.002976
1999-09,2000-09,12,299.0,273.65,80.4786071777344,90.6654205322266,50.7160949707031,74.7839050292969,-0.08478260869565224,0.12657790326806917,0.47455960622553706,-0.08478260869565224,0.12657790326806917,0.47455960622553706,-0.2113605119637214,-0.5593422149211893,False,False,False,-1.420743786875113,0.7309035981559805,0.008902
1999-09,2002-09,36,299.0,323.7,80.4786071777344,53.0228614807129,50.7160949707031,17.4593944549561,0.08260869565217388,-0.3411558258753954,-0.6557425317339243,0.026810979116659084,-0.12984977530270636,-0.29914562263606403,0.15666075441936544,0.3259566017527231,True,True,True,-1.420743786875113,0.7309035981559805,0.008902
1999-10,2000-10,12,299.1,264.5,85.6354598999023,90.2412796020508,55.4032554626465,68.8459091186523,-0.11568037445670354,0.0537840248365824,0.24263292010103976,-0.11568037445670354,0.0537840248365824,0.24263292010103976,-0.16946439929328594,-0.3583132945577433,False,False,False,-1.4312619939223732,0.7834764735315353,0.059172
1999-10,2002-10,36,299.1,316.9,85.6354598999023,57.3857498168945,55.4032554626465,20.6866989135742,0.0595118689401537,-0.3298833230536551,-0.6266158235499102,0.019456287483528234,-0.1249151964875358,-0.27991244862879716,0.14437148397106403,0.2993687361123254,True,True,True,-1.4312619939223732,0.7834764735315353,0.059172
1999-11,2000-11,12,291.35,269.1,87.0614776611328,83.5045013427734,61.9336776733398,53.0728492736816,-0.07636862879697959,-0.04085591485368689,-0.1430696308136804,-0.07636862879697959,-0.04085591485368689,-0.1430696308136804,-0.035512713943292695,0.06670100201670082,False,True,False,-1.508284161792345,0.4365942144329747,0.032448
1999-11,2002-11,36,291.35,319.05,87.0614776611328,60.9253768920898,61.9336776733398,23.3578510284424,0.09507465247983515,-0.30020281611543376,-0.6228570318132891,0.030737101588089732,-0.11218175951234988,-0.27750418096921126,0.1429188611004396,0.308241282557301,True,True,True,-1.508284161792345,0.4365942144329747,0.032448
1999-12,2000-12,12,290.25,274.45,92.0334854125977,83.0680541992188,76.9957885742188,49.1888236999512,-0.05443583118001727,-0.09741488299813639,-0.36114916658673546,-0.05443583118001727,-0.09741488299813639,-0.36114916658673546,0.04297905181811912,0.3067133354067182,True,True,True,-1.5311603360535935,0.4352069985221562,0.023529
