horizon_months,signal,sigma_band,months,gold_beats_spy,gold_beats_qqq,gold_beats_both,mean_gold_cagr,mean_spy_cagr,mean_qqq_cagr,mean_gold_minus_spy_cagr,mean_gold_minus_qqq_cagr
12,z_full_money,<-1σ,80,0.6625,0.675,0.5875,0.12591886393514495,0.021017325826352382,0.0034928699535706513,0.10490153810879256,0.12242599398157429
12,z_full_money,-1σ to 0σ,100,0.58,0.48,0.45,0.1346835026658027,0.08635855549990798,0.1372580837392626,0.04832494716589471,-0.002574581073459896
12,z_full_money,0σ to +1σ,103,0.5145631067961165,0.39805825242718446,0.3883495145631068,0.14490695601393633,0.1402359287062874,0.21001836306835978,0.004671027307648932,-0.06511140705442345
12,z_full_money,+1σ to +2σ,34,0.38235294117647056,0.17647058823529413,0.17647058823529413,0.009838442487622697,0.17411764589034598,0.19873410347183132,-0.16427920340272328,-0.18889566098420862
12,z_full_money,>=+2σ,0,,,,,,,,
12,z_roll10_money,<-1σ,57,0.19298245614035087,0.17543859649122806,0.15789473684210525,-0.03760902249694561,0.14254220656153122,0.2297888970121298,-0.18015122905847683,-0.26739791950907543
12,z_roll10_money,-1σ to 0σ,45,0.35555555555555557,0.24444444444444444,0.24444444444444444,0.06315329701102165,0.10932109363038418,0.1478777889566057,-0.04616779661936254,-0.08472449194558404
12,z_roll10_money,0σ to +1σ,68,0.6911764705882353,0.6029411764705882,0.5441176470588235,0.12650890486865066,0.05541526110150416,0.04500556614852433,0.0710936437671465,0.08150333872012634
12,z_roll10_money,+1σ to +2σ,80,0.8,0.65,0.625,0.2160145282086797,0.06609526939307768,0.10132883210098464,0.14991925881560203,0.11468569610769505
12,z_roll10_money,>=+2σ,67,0.582089552238806,0.5223880597014925,0.4626865671641791,0.18238553767871318,0.1280795214835118,0.1712677042593754,0.05430601619520138,0.011117833419337772
36,z_full_money,<-1σ,80,0.9375,0.8875,0.8875,0.15246397190637662,0.02685883661889656,-0.023768102053930956,0.12560513528748005,0.17623207396030757
36,z_full_money,-1σ to 0σ,99,0.5656565656565656,0.45454545454545453,0.45454545454545453,0.14841452752390363,0.0897940357053836,0.15323625652431447,0.05862049181852002,-0.004821729000410837
36,z_full_money,0σ to +1σ,85,0.32941176470588235,0.2235294117647059,0.2235294117647059,0.08601819435574679,0.11511941225631714,0.15938796120337423,-0.029101217900570346,-0.07336976684762743
36,z_full_money,+1σ to +2σ,29,0.0,0.0,0.0,-0.0900110563230006,0.16329246741856845,0.19758638472385515,-0.25330352374156906,-0.28759744104685575
36,z_full_money,>=+2σ,0,,,,,,,,
36,z_roll10_money,<-1σ,57,0.08771929824561403,0.08771929824561403,0.08771929824561403,-0.009916046571242045,0.10709584253193558,0.14088660597715486,-0.11701188910317763,-0.15080265254839692
36,z_roll10_money,-1σ to 0σ,45,0.4444444444444444,0.24444444444444444,0.24444444444444444,0.1230893634547292,0.12317571889302383,0.18045382767629442,-8.63554382946299e-05,-0.057364464221565235
36,z_roll10_money,0σ to +1σ,66,0.7121212121212122,0.5606060606060606,0.5606060606060606,0.1307773772222261,0.08728878487229909,0.08190020179195127,0.04348859234992702,0.04887717543027483
36,z_roll10_money,+1σ to +2σ,75,0.6666666666666666,0.6533333333333333,0.6533333333333333,0.14739500379129847,0.06632433068907939,0.09193109078116077,0.08107067310221908,0.055463913010137686
36,z_roll10_money,>=+2σ,50,0.74,0.66,0.66,0.13863285964663447,0.06352386167022099,0.08191438355768688,0.07510899797641349,0.05671847608894759
