horizon_months,buy_month_start,buy_month_end,consecutive_months,median_z_full_money,min_z_full_money,max_z_full_money,median_z_roll10_money,mean_gold_minus_spy_cagr,mean_gold_minus_qqq_cagr
12,1999-12,1999-12,1,-1.5311603360535935,-1.5311603360535935,-1.5311603360535935,0.4352069985221562,0.04297905181811912,0.3067133354067182
12,2000-03,2002-05,27,-1.847696156129659,-2.0373448850506755,-1.6146339987586784,0.6042745382920447,0.26236072240220093,0.4721430031460969
12,2003-10,2003-11,2,-1.3532235212220685,-1.3920961665411846,-1.314350875902952,2.588894317052717,0.00944506792918276,0.04225024576748615
12,2004-02,2004-02,1,-1.3471324870351304,-1.3471324870351304,-1.3471324870351304,2.150871285260185,0.031179611272764696,0.07251600181054685
12,2004-04,2004-04,1,-1.4236983273352068,-1.4236983273352068,-1.4236983273352068,1.803523290131852,0.05789982310767727,0.10581784911782344
12,2004-06,2004-06,1,-1.4044647443123404,-1.4044647443123404,-1.4044647443123404,1.77288787075659,0.0429633510636378,0.11953955815292194
12,2004-09,2005-12,16,-1.2247918337932893,-1.3558283412274723,-0.8747117192166558,1.6770704820288318,0.20517415634949193,0.23673402297167573
12,2006-02,2006-03,2,-0.6317873295175758,-0.6885477896370935,-0.575026869398058,2.317124283025504,0.04915700836192738,0.11632540146866455
12,2006-10,2008-10,25,-0.147527578287375,-0.5563764767454437,0.4898537246125144,1.7438397331072646,0.3574321119323437,0.2936233391365803
12,2009-06,2009-10,5,0.20652494278642744,0.14998098671023735,0.4194054426716856,0.15562490994461614,0.17794913286922825,0.11672911821688432
12,2009-12,2009-12,1,0.5291747157892593,0.5291747157892593,0.5291747157892593,0.8497649952322405,0.14185255524190654,0.09097593633806378
12,2010-03,2010-04,2,0.6598332863171009,0.5926513257128095,0.7270152469213923,1.0842288287515003,0.13261952020514578,0.08836757194180767
12,2010-07,2011-02,8,0.9861648349670726,0.6816551954180036,1.1117850583781834,1.4138722246837596,0.20346042865222633,0.14935676780393978
12,2015-02,2015-02,1,0.06258126319264018,0.06258126319264018,0.06258126319264018,-2.0318752912491727,0.0794287780113182,0.062069677264663836
12,2015-04,2015-11,8,-0.1488748848042693,-0.3571510998920546,0.002622842316324645,-1.8826553952126612,0.06261191415270248,0.07033936068111507
12,2018-06,2018-10,5,-0.334304327219517,-0.3917451093512753,-0.2403709546040064,-0.521532171588759,0.1341381372323561,0.13249989891679909
12,2019-02,2019-04,3,-0.2153534046305036,-0.24688627057924836,-0.16030566201721078,0.09650100891055297,0.2559491287769663,0.11951483551882632
12,2021-04,2021-04,1,-0.13912286530276716,-0.13912286530276716,-0.13912286530276716,1.1656215600001496,0.08097429617715113,0.1500233041426262
12,2021-06,2022-03,10,-0.19477676747135042,-0.26346213095807586,-0.06731546495097314,0.7442059679657733,0.09228011679280065,0.19255763138917734
12,2023-08,2023-09,2,-0.008990713784418205,-0.056122850694009296,0.03814142312517289,0.6231458935867163,0.035262212374086,0.02983971023087184
12,2024-01,2025-03,15,0.6604894975959842,0.16017531805654253,1.1638531306749926,2.958130500705773,0.3279901401690591,0.29621234539054
12,2025-07,2025-07,1,1.2771079282149211,1.2771079282149211,1.2771079282149211,3.0191533494731964,0.03860880569712588,0.0037697404991303696
36,1999-03,2002-04,38,-1.810184128340249,-2.0373448850506755,-1.420743786875113,0.38865709676071664,0.15818685409465652,0.27027577601093145
36,2002-11,2002-11,1,-1.76823171519759,-1.76823171519759,-1.76823171519759,2.3369242619251276,0.03788493486894362,0.012448881145525004
36,2003-03,2008-11,69,-0.6885477896370935,-1.684883349831991,0.4898537246125144,1.8573413417094473,0.18516659971489483,0.15547242058472652
36,2009-07,2009-07,1,0.16123331506078253,0.16123331506078253,0.16123331506078253,0.04921969793402033,0.060335739608623706,0.010010728538552005
36,2009-09,2009-10,2,0.36672467505935347,0.3140439074470214,0.4194054426716856,0.5501578742126774,0.06590288451297521,0.016287128959212138
36,2009-12,2009-12,1,0.5291747157892593,0.5291747157892593,0.5291747157892593,0.8497649952322405,0.042936499056095645,0.014210362962046696
36,2021-04,2021-04,1,-0.13912286530276716,-0.13912286530276716,-0.13912286530276716,1.1656215600001496,0.013499874442037152,0.006934064822854413
36,2021-07,2022-01,7,-0.22593692902295562,-0.26346213095807586,-0.10527316234952973,0.6113573057073947,0.032879208274629326,0.03355167869207233
36,2022-03,2022-05,3,-0.10667627498057229,-0.20157563094712688,-0.06731546495097314,0.7004406097042594,0.07680067872531438,0.04369487623091247
36,2022-07,2022-08,2,-0.34483696034576283,-0.37238721780319667,-0.31728670288832905,-0.1659638591182223,0.06505048949079395,0.011862922197539039
36,2022-10,2023-07,10,-0.021270669478882554,-0.472460006219096,0.09367372100017185,0.731493202747913,0.12324732507867613,0.05447716675715779
