date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_major,resistance_major,support_extreme_major,resistance_extreme_major,dev_pct_vs_center,dev_pct_vs_support,dev_pct_vs_resistance
2021-06-24,208.01080322265625,216.93908637748743,214.74513869151008,-0.0411557147396456,-0.8173902057950481,190.06559091243128,237.86001398265438,186.29394511841764,240.68587354510137,-0.04115571473964541,0.09441589203009837,-0.1254906625969291
2021-06-25,207.1995086669922,216.9832715809066,214.79811668596443,-0.045089941001587,-0.8973568801285423,190.10430263993823,237.90846026902264,186.3318886536204,240.73489539017456,-0.04508994100158703,0.08992540300065,-0.12907885481376036
2021-06-28,206.0138702392578,217.1158811951887,214.95705066932757,-0.0511340344834108,-1.0208526433081335,190.22048513669375,238.05385834013134,186.4457656345636,240.8820208408572,-0.051134034483410806,0.08302673127562898,-0.13459134132199102
2021-06-29,205.37193298339844,217.1601024074024,215.0100286637819,-0.0542833112220991,-1.0855122335535978,190.2592284123782,238.10234410786975,186.48374009190448,240.9310826363529,-0.054283311222099284,0.07943217628458021,-0.1374636240861331
2021-06-30,205.92466735839844,217.20433262639892,215.06300665823628,-0.0519311246309346,-1.037197846843041,190.2979795791234,238.15083975097696,186.52172228371649,240.98015442454022,-0.05193112463093452,0.08211694004232806,-0.13531832357289142
2021-07-01,207.06578063964844,217.2485718540127,215.11598465269063,-0.0468716140569472,-0.9336794273357988,190.33673863853647,238.19934527146435,186.55971221157498,241.02923620745443,-0.046871614056947286,0.08789181805243418,-0.13070382118949353
2021-07-02,208.27821350097656,217.29282009207887,215.168962647145,-0.0414859846141364,-0.8240906094569737,190.37550559222524,238.24786067134397,186.59770987705576,241.07832798713147,-0.04148598461413644,0.09403892508681255,-0.1257918836539299
2021-07-06,207.4937438964844,217.46990318557508,215.38087462496247,-0.0458737468631585,-0.9133277886328258,190.53065238189777,238.44202110503275,186.74977794672478,241.27479511419423,-0.04587374686315859,0.08903077432698847,-0.1297937211952911
2021-07-07,209.16970825195312,217.51419650343797,215.43385261941685,-0.0383629592257576,-0.7608238221060157,190.56945883108892,238.49058593206385,186.78781432396252,241.3239369082345,-0.03836295922575772,0.09760351703234105,-0.1229435433080911
2021-07-08,207.57394409179688,217.55849884276984,215.4868306138712,-0.0458936552884972,-0.91373361557882,190.60827318420766,238.53916065056617,186.82585844828296,241.3730887112601,-0.04589365528849709,0.08900805103665799,-0.12981187857925747
2021-07-09,210.1057281494141,217.60281020540816,215.5398086083256,-0.0344530571499381,-0.6819053663988296,190.64709544286387,238.58774526255448,186.86391032126403,241.4222505253097,-0.03445305714993818,0.102066242663434,-0.11937753584869704
2021-07-12,210.0433654785156,217.7357984515427,215.69874259168864,-0.0353292064407088,-0.6995619681365143,190.76360966816114,238.73355847958834,186.97811244795537,241.56979605399522,-0.035329206440708805,0.10106621406405636,-0.1201766236124937
2021-07-13,210.5425720214844,217.78014592578933,215.75172058614305,-0.0332333963389445,-0.6573528048495435,190.80246356507251,238.7821826856756,187.01619533136468,241.61899793253542,-0.03323339633894451,0.10345835209658905,-0.11826515004833849
2021-07-14,211.39840698242188,217.8245024325352,215.80469858059735,-0.0295012515963559,-0.5824142723516748,190.84132537557537,238.8308167953281,187.05428597132885,241.6682098322987,-0.029501251596356304,0.10771818717141168,-0.11486126531324092
2021-07-15,211.1755523681641,217.8688679736203,215.85767657505176,-0.0307217624422899,-0.6068894119477807,190.88019510128177,238.87946081056324,187.09238436942792,241.71743175532634,-0.030721762442289968,0.1063251075163325,-0.11597442638389477
2021-07-16,209.27667236328125,217.91324255088463,215.9106545695061,-0.0396330672083258,-0.7865290647148296,190.91907274380378,238.92811473339853,187.13049052724196,241.76666370365987,-0.03963306720832571,0.09615382766975689,-0.12410193920963652
2021-07-19,204.3824005126953,218.0464205181588,216.0695885528692,-0.0626656469434018,-1.2586696537661746,191.0357531883892,239.07413596768592,187.2448555747797,241.91441972091613,-0.06266564694340193,0.06986465675430065,-0.14510869322844555
2021-07-20,208.84878540039065,218.0908312585481,216.1225665473236,-0.0423770490709027,-0.8421797478798908,191.07466251430137,239.12282954110492,187.28299278726135,241.9636917908961,-0.04237704907090267,0.09302187245657945,-0.12660457472342768
2021-07-21,210.32862854003903,218.13525104432264,216.17554454177792,-0.0357879914727646,-0.7088140333945789,191.11357976509476,239.1715330322179,187.32113776736352,242.01297389639564,-0.03578799147276468,0.10054256112287918,-0.12059505630334999
2021-07-22,212.77130126953125,218.17967987732447,216.2285225362323,-0.0247886448950432,-0.4881994591880386,191.15250494238322,239.22024644304446,187.35929051666807,242.06226603945845,-0.024788644895043288,0.11309711234840636,-0.11056315494520819
2021-07-23,216.59580993652344,218.2241177593967,216.28150053068663,-0.0074616309122558,-0.1456680744899063,191.1914380477816,239.2689697756055,187.39745103675776,242.1115682221294,-0.007461630912255823,0.1328740039205778,-0.0947601348404924
2021-07-26,217.5050811767578,218.35748571846716,216.44043451404977,-0.0039037111043142,-0.0760732579705791,191.308284948784,239.41519932390432,187.5119792375652,242.25953502823987,-0.0039037111043144224,0.13693498028580975,-0.0915151511224831
2021-07-27,219.61795043945312,218.4019598152545,216.4934125085041,0.0055676726766884,0.1079873216469047,191.34724978277188,239.46396236361443,187.5501708566249,242.3088773897946,0.005567672676688673,0.1477455290775056,-0.08287682091397996
2021-07-28,215.5438690185547,218.44644297033145,216.5463905029585,-0.0132873482044794,-0.2601626896508358,191.38622255294683,239.51273533516732,187.58837025438663,242.35822980118581,-0.01328734820447941,0.12622458473427822,-0.10007345239104415
2021-07-29,217.5407867431641,218.49093518554267,216.59936849741285,-0.0043486858691492,-0.0847635899212419,191.42520326092497,239.5615182405855,187.62657743243446,242.4075922644601,-0.004348685869149271,0.13642709025436894,-0.09192098822527317
2021-07-30,216.3729553222656,218.5354364627333,216.65234649186723,-0.0098953340266921,-0.1934164462857863,191.46419190832287,239.61031108189206,187.66479239235287,242.4569647816646,-0.00989533402669207,0.13009619796619498,-0.09697978210831082
2021-08-02,214.046142578125,218.66899468464229,216.81128047523032,-0.0211408668759108,-0.4155848573603109,191.58120550320902,239.75674924138303,187.77948397918445,242.60514267734064,-0.02114086687591088,0.11726065203478275,-0.1072362164761127
2021-08-03,211.2379608154297,218.7135322282124,216.86425846968467,-0.0341797388420505,-0.6764005967120581,191.62022592446087,239.80558184648538,187.81773008243908,242.65455543074862,-0.0341797388420505,0.1023782056216882,-0.11912825719521247
2021-08-04,209.34799194335932,218.75807884299425,216.91723646413905,-0.0430159514537912,-0.8551602102139585,191.65925429322115,239.85442439759882,187.85598397549245,242.70397824832972,-0.043015951453791446,0.09229263525713205,-0.1271872825813294
2021-08-05,210.76547241210932,218.80263453083572,216.9702144585934,-0.0367324741585491,-0.7278747638419711,191.69829061110886,239.9032768967494,187.8942456599314,242.75341113213412,-0.03673247415854919,0.09946453742606054,-0.12145646721274472
2021-08-06,210.6228485107422,218.8471992935847,217.02319245304776,-0.0375803337186395,-0.7450014558251923,191.73733487974295,239.9521393459632,187.93251513734282,242.80285408421193,-0.03758033371863956,0.0984967984604781,-0.12222975346318543
2021-08-09,209.2142639160156,218.98094804976117,217.18212643641087,-0.0446006112437058,-0.8873928921922318,191.85451540631828,240.098786414251,188.047370343285,242.95124337059386,-0.04460061124370596,0.090483919405973,-0.12863256395202782
2021-08-10,208.1177673339844,219.02554913062704,217.23510443086525,-0.049801412848586,-0.9935564249880162,191.8935914941347,240.14768868398738,188.08567100846156,243.00072661627593,-0.04980141284858608,0.08454777313574646,-0.13337593014335214
2021-08-11,209.98989868164065,219.07015929564585,217.2880824253196,-0.0414490985134625,-0.823342162189097,191.9326755407977,240.19660091392404,188.12397947454994,243.0502199404889,-0.04144909851346268,0.0940810265368528,-0.12575824186249895
2021-08-12,210.9883270263672,219.11477854666757,217.341060419774,-0.0370876468223687,-0.7350473863570322,191.971767547928,240.24552310608934,188.1622957431388,243.0997233452852,-0.03708764682236887,0.09905914667213489,-0.12178040073946583
2021-08-13,212.90505981445312,219.1594068855432,217.39403841422836,-0.0285378901137308,-0.5631175245307041,192.01086751714737,240.29445526251277,188.2006198158177,243.14923683271854,-0.02853789011373098,0.10881775895023127,-0.11398263608761905
2021-08-16,214.82174682617188,219.29334644780383,217.55297239759145,-0.0203909498124982,-0.4006901485990438,192.12821521355704,240.44131153762729,188.31563887428993,243.2978378113769,-0.020390949812498227,0.11811660035143823,-0.10655225821061176
