ticker,kind,date,price,dev_pct_vs_center
QQQ,low,2022-06-16,264.3362731933594,-0.18120963314811145
QQQ,low,2022-12-28,254.8916015625,-0.2763618425791057
QQQ,low,2023-10-26,338.2513732910156,-0.16095262586401482
QQQ,low,2025-04-08,413.6012878417969,-0.19043008768234848
QQQ,low,2026-03-30,557.6671752929688,-0.06900576041428819
QQQ,high,2021-11-19,392.5025939941406,0.33483000328359247
QQQ,high,2022-08-15,325.0270080566406,-0.019857436520061666
QQQ,high,2024-06-17,479.2640686035156,0.0703052287902648
QQQ,high,2024-07-10,497.7400207519531,0.10019831638741872
QQQ,high,2026-06-02,745.3408813476562,0.2092171012889148
SPY,low,2022-06-16,346.0597229003906,-0.1268839326419896
SPY,low,2022-10-12,339.3785095214844,-0.1803296346512545
SPY,low,2023-10-27,397.0440979003906,-0.16686266240266623
SPY,low,2025-04-08,489.5918273925781,-0.15533141673783468
SPY,low,2026-03-30,630.3460693359375,-0.046739306410610304
SPY,high,2021-12-27,449.0630187988281,0.20701560561718213
SPY,high,2022-08-16,407.3209228515625,0.004738793953573239
SPY,high,2024-06-18,534.0827026367188,0.027341985999002283
SPY,high,2024-12-04,595.427978515625,0.07590159596070478
SPY,high,2026-06-02,757.6182250976562,0.11891318238553072
GOLD,low,2022-06-14,1809.5,0.03564715885643022
GOLD,low,2022-11-03,1627.300048828125,-0.1414023389192105
GOLD,low,2023-10-05,1816.5999755859373,-0.2093562181609231
GOLD,low,2024-06-26,2299.199951171875,-0.14026744378719724
GOLD,low,2025-08-19,3313.39990234375,-0.02543981967997344
GOLD,high,2021-07-15,1828.4000244140625,0.26714797801407286
GOLD,high,2022-06-24,1826.5,0.03940498850690077
GOLD,high,2024-04-19,2398.39990234375,-0.06754607901243992
GOLD,high,2025-04-21,3406.199951171875,0.07315454703368851
GOLD,high,2026-01-29,5318.39990234375,0.42481867385932714
GOOG,low,2022-06-16,105.70404052734376,-0.0861932949930646
GOOG,low,2022-11-03,82.76032257080078,-0.337179665233056
GOOG,low,2023-10-27,122.32152557373048,-0.19423711207586347
GOOG,low,2025-04-08,145.9871368408203,-0.27953719082411566
GOOG,low,2025-06-23,165.5372772216797,-0.21625308911423302
GOOG,high,2021-09-01,144.56736755371094,0.4625399930133458
GOOG,high,2022-08-15,121.80607604980467,0.01907888532718993
GOOG,high,2024-05-21,177.9709014892578,0.04708252803771562
GOOG,high,2024-07-10,191.19354248046875,0.09459102165459488
GOOG,high,2026-05-13,398.7999877929688,0.5820714898010899
GOOGL,low,2022-06-16,105.10153198242188,-0.08455347089006038
GOOGL,low,2023-01-05,85.44236755371094,-0.3342382209821375
GOOGL,low,2023-10-27,121.09620666503906,-0.1974490570579398
GOOGL,low,2025-04-08,144.11390686035156,-0.28553942392786946
GOOGL,low,2025-06-23,164.7200927734375,-0.21673834881795317
GOOGL,high,2021-09-01,143.9391632080078,0.4683791370946282
GOOGL,high,2022-08-15,121.00700378417967,0.01984794150721436
GOOGL,high,2024-05-21,176.28683471679688,0.04287037684773787
GOOGL,high,2024-07-10,189.71714782714844,0.09194606686176265
GOOGL,high,2026-05-13,402.3796691894531,0.6017015913042962
MSFT,low,2022-06-13,234.3945770263672,-0.16961520664768936
MSFT,low,2022-11-03,207.7339782714844,-0.30275540544747237
MSFT,low,2023-09-26,305.5706787109375,-0.09352414061302083
MSFT,low,2025-04-08,351.10577392578125,-0.1569877595555641
MSFT,low,2026-06-22,367.3399963378906,-0.25304003375721806
MSFT,high,2021-11-19,330.5155029296875,0.26564190755544614
MSFT,high,2023-06-15,340.0538635253906,0.0487835557569376
MSFT,high,2024-06-21,442.82073974609375,0.18673119782184533
MSFT,high,2024-07-05,460.32562255859375,0.22713781494000895
MSFT,high,2025-08-04,531.3954467773438,0.22028118258156715
AAPL,low,2022-06-16,127.50054168701172,-0.16172015890677938
AAPL,low,2023-01-05,122.93353271484376,-0.25249932706716316
AAPL,low,2024-04-19,163.36138916015625,-0.17106562502327516
AAPL,low,2025-04-08,171.51376342773438,-0.24056417389992102
AAPL,low,2025-08-01,201.580307006836,-0.14608329157169408
AAPL,high,2022-01-03,177.93972778320312,0.24613760388932104
AAPL,high,2022-08-17,171.35272216796875,0.10002709458383352
AAPL,high,2023-07-31,193.73399353027344,0.08778384622210633
AAPL,high,2024-12-26,257.3756103515625,0.18570904866710358
AAPL,high,2026-06-02,315.20001220703125,0.18731621581755542
NVDA,low,2022-06-16,15.557808876037598,-0.3255722680897032
NVDA,low,2022-10-14,11.199243545532228,-0.6014077508967101
NVDA,low,2023-10-26,40.25090789794922,-0.22902187295154852
NVDA,low,2025-04-21,96.77438354492188,-0.24059247809219797
NVDA,low,2026-03-30,164.97772216796875,-0.2632288673839227
NVDA,high,2021-11-19,32.877098083496094,1.0093180707164273
NVDA,high,2023-06-20,43.72282409667969,0.03354930258347433
NVDA,high,2024-06-18,135.3568878173828,0.7591706697928771
NVDA,high,2024-07-10,134.68801879882812,0.6883195967817002
NVDA,high,2025-08-08,182.4569854736328,0.1969585400858247
AMZN,low,2022-06-14,102.30999755859376,-0.2332949457579343
AMZN,low,2022-12-28,81.81999969482422,-0.42983040752683277
AMZN,low,2023-10-26,119.56999969482422,-0.2546216222810984
AMZN,low,2025-04-21,167.32000732421875,-0.1463171703598939
AMZN,low,2026-03-27,199.33999633789065,-0.10285159194627003
