date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_major,resistance_major,support_extreme_major,resistance_extreme_major,dev_pct_vs_center,dev_pct_vs_support,dev_pct_vs_resistance
2021-06-24,124.33839416503906,149.40709988991895,149.82858948453708,-0.1677879146529861,-2.428681488277741,124.33839416503902,167.9442388601062,122.66153657113523,175.7126586132069,-0.16778791465298615,4.440892098500626e-16,-0.2596447784754905
2021-06-25,124.97005462646484,149.40671788034925,149.8282088712777,-0.163557995253294,-2.3616415107499606,124.3380762520584,167.9438094540976,122.6612229456058,175.7122093446169,-0.16355799525329406,0.0050827420968400094,-0.25588174382443274
2021-06-28,125.50775146484376,149.40557185750043,149.82706703149958,-0.1599526717480781,-2.3047678386125825,124.33712251799354,167.94252124265915,122.66028207382871,175.71086154573888,-0.15995267174807815,0.009414959290865221,-0.25267436420405787
2021-06-29,125.42239379882812,149.40518985183766,149.8266864182402,-0.1605218404848776,-2.313730182626128,124.3368046082643,167.94209184104224,122.65996845150683,175.71041228174366,-0.1605218404848776,0.008731036590365004,-0.25318070994649244
2021-06-30,126.47229766845705,149.4048078471515,149.82630580498085,-0.1534924512078321,-2.2034662755365324,124.3364866993478,167.94166244052306,122.6596548299867,175.70996301889699,-0.15349245120783217,0.017177668645839583,-0.24692720179992556
2021-07-01,126.49788665771484,149.40442584344217,149.82592519172147,-0.1533190135192556,-2.20075729855743,124.33616879124426,167.94123304110195,122.65934120926859,175.70951375719915,-0.1533190135192556,0.0173860742814107,-0.2467729075994355
2021-07-02,127.10393524169922,149.4040438407096,149.8255445784621,-0.14926040839153,-2.137522619375575,124.33585088395357,167.94080364277875,122.65902758935235,175.70906449665003,-0.14926040839153,0.02226296227569291,-0.24316227810807822
2021-07-06,127.291748046875,149.40251583954625,149.8240221254246,-0.1479946148726004,-2.1178627560191834,124.33457926291902,167.93908606046477,122.65777311770599,175.70726746594016,-0.14799461487260057,0.02378396099851443,-0.24203619876170523
2021-07-07,127.85509490966795,149.4021338416971,149.82364151216524,-0.1442217616172727,-2.059436920647648,124.33426135969238,167.9386566676309,122.65745950179898,175.70681821113428,-0.14422176161727285,0.028317484750160604,-0.23867978078026864
2021-07-08,127.9148406982422,149.40175184482476,149.82326089890586,-0.1438196733389031,-2.053225437279508,124.33394345727865,167.93822727589503,122.65714588669394,175.7063689574772,-0.1438196733389031,0.028800640769460983,-0.23832207369856862
2021-07-09,127.5904541015625,149.40136984892914,149.82288028564648,-0.1459887266724614,-2.086767738113026,124.33362555567776,167.93779788525708,122.65683227239076,175.70591970496878,-0.14598872667246143,0.026194269903488943,-0.2402517139784205
2021-07-12,127.61607360839844,149.40022386710234,149.82173844586836,-0.1458106935507794,-2.084011421525839,124.33267185575191,167.9365097199303,122.6558914342923,175.7045719543354,-0.14581069355077947,0.02640819748855594,-0.24009333157378787
2021-07-13,130.5608673095703,149.3998418751135,149.821357832609,-0.1260976874479632,-1.7823136609312002,124.3323539574023,167.93608033368386,122.65557782319657,175.70412270642166,-0.12609768744796324,0.050095676257380095,-0.222556182982538
2021-07-14,131.90948486328125,149.39945988410125,149.82097721934963,-0.1170685291257953,-1.6463923442466202,124.3320360598654,167.93565094853514,122.65526421290258,175.7036734596564,-0.11706852912579535,0.06094526433852754,-0.21452363379527029
2021-07-15,132.5155029296875,149.39907789406578,149.82059660609025,-0.1130099007461739,-1.5857475981618028,124.33171816314142,167.93522156448444,122.65495060341053,175.70322421403992,-0.1130099007461739,0.06582218027267794,-0.2109129836184861
2021-07-16,133.0020294189453,149.39869590500703,149.82021599283087,-0.1097510683526132,-1.537254065366345,124.33140026723025,167.9347921815316,122.65463699472035,175.70277496957215,-0.10975106835261328,0.0697380479354286,-0.2080138505475697
