date,price,log_trend_5y_window,price_straight_line,dev_pct_vs_log_trend,dev_sigma_vs_log_trend,support_major,resistance_major,support_extreme_major,resistance_extreme_major,dev_pct_vs_center,dev_pct_vs_support,dev_pct_vs_resistance
2021-06-24,371.4484252929688,391.5963157045241,339.89551843028244,-0.0514506638687521,-0.4470699682472265,328.8781219993588,461.98547978469355,311.0385023896459,500.0221232041933,-0.0514506638687523,0.12944097051762227,-0.19597380968319433
2021-06-25,373.7601318359375,391.8202187273991,340.2845691249618,-0.0460927895709908,-0.3993968145656135,329.06616464102825,462.2496292194553,311.21634487212754,500.3080208503148,-0.04609278957099083,0.13582060994835188,-0.1914322733648034
2021-06-28,375.6833801269531,392.4926962150399,341.4517212089999,-0.0428270799690939,-0.3704704371343258,329.6309379148122,463.0429840655376,311.75048266213776,501.16669496876824,-0.04282707996909396,0.13970910165004735,-0.18866413474525268
2021-06-29,377.81494140625,392.71711176139365,341.84077190367924,-0.0379463229608336,-0.327422055510483,329.81941099403275,463.3077381495153,311.9287322335752,501.45324704668025,-0.03794632296083367,0.14552063587635722,-0.18452702103515406
2021-06-30,374.8591003417969,392.9416556218228,342.2298225983586,-0.0460184228913338,-0.398737002434992,330.00799183650463,463.5726436119337,312.1070837227689,501.7399629664719,-0.04601842289133384,0.135909158610658,-0.19136923736250666
2021-07-01,373.7789306640625,393.1663278696936,342.618873293038,-0.0493109298313476,-0.4279988809206355,330.19668050384354,463.8377005393467,312.2855371879925,502.0268428218232,-0.04931092983134766,0.13198875922591724,-0.19416009041646376
2021-07-02,377.95709228515625,393.39112857841405,343.00792398771733,-0.039233310494396,-0.3387520748526084,330.38547705770054,464.1029090183573,312.46409268755264,502.3138867064675,-0.039233310494396045,0.14398821537530093,-0.18561792020526557
2021-07-06,377.88128662109375,394.29161749142384,344.5641267664348,-0.0416197812541297,-0.3598016376800708,331.14174337256384,465.1652601841725,313.1793361964634,503.4637044145195,-0.041619781254129795,0.1411466363995788,-0.1876407828231207
2021-07-07,383.3952026367188,394.51706160698393,344.9531774611142,-0.0281910722060093,-0.2420311802070289,331.33108028501107,465.43122772195255,313.3584027434768,503.7515698535072,-0.02819107220600936,0.15713624664164372,-0.17625810259177943
2021-07-08,385.7353210449219,394.7426346247246,345.3422281557935,-0.0228181928926066,-0.1953659544818978,331.52052545462357,465.69734733199,313.53757167536867,504.03959988531517,-0.02281819289260667,0.16353375259631964,-0.171703847456241
2021-07-09,390.6807861328125,394.9683366183481,345.7312788504729,-0.0108554283673594,-0.0923804106190324,331.71007894329944,465.9636191012351,313.7168430506795,504.3277946040525,-0.010855428367359421,0.17777785763209564,-0.161563757088226
2021-07-12,386.4269104003906,395.6462171921721,346.898430934511,-0.0233018954590522,-0.1995565475722987,332.27938994322034,466.7633482344661,314.25527242303434,505.19336782374063,-0.023301895459052258,0.16295780627989886,-0.1721138519936244
2021-07-13,385.6500549316406,395.8724358271944,347.2874816291904,-0.0258224113891475,-0.2214268631831242,332.46937732784,467.0302295110404,314.43495415809707,505.4822222323647,-0.025822411389147648,0.15995661925687799,-0.174250336353176
2021-07-14,388.3879699707031,396.098783807244,347.67653232386976,-0.0194668960162553,-0.1663885930912259,332.65947334154515,467.29726338232024,314.61473862978414,505.7712417992719,-0.019466896016255397,0.167524153361299,-0.16886316183507655
2021-07-15,390.1596374511719,396.3252612062768,348.0655830185491,-0.0155569789731264,-0.1327059783338964,332.84967804644697,467.5644499355551,314.7946258968376,506.0604266188952,-0.015556978973126578,0.17217970508815594,-0.16554896869309033
2021-07-16,388.7859497070313,396.55186809829047,348.4546337132285,-0.0195836131815529,-0.1673961353816696,333.03999150469156,467.8317892580436,314.9746160180324,506.34977678572074,-0.019583613181552995,0.16738517782947526,-0.1689620957061828
2021-07-19,392.3670654296875,397.2324664728311,349.62178579726657,-0.0122482461877934,-0.1043067030028727,333.61158502147947,468.63472471477064,315.5152040947233,507.2188203150881,-0.01224824618779341,0.17611942464295738,-0.16274436200070874
2021-07-20,394.3471984863281,397.45959207759415,350.01083649194595,-0.0078307170170355,-0.0665384204554077,333.80233411527024,468.90267598826273,315.6956062209096,507.50883281666984,-0.007830717017035527,0.1813793918833122,-0.15899989767556977
2021-07-21,393.1818542480469,397.6868475459628,350.3998871866253,-0.0113279916741406,-0.0964249489130582,333.99319227366914,469.1707804682528,315.87611149561855,507.7990111386977,-0.01132799167414067,0.17721517487062854,-0.16196431956901858
2021-07-22,395.5788269042969,397.914232952189,350.78893788130466,-0.0058691191580794,-0.0498213488997711,334.18415955903595,469.43903824233956,316.05671997782713,508.08935537598285,-0.005869119158079417,0.18371507322870317,-0.15733717335181163
2021-07-23,401.1589660644531,398.14174837056754,351.17798857598405,0.0075782499731158,0.0638989125649475,334.3752360337663,469.70744939817206,316.23743172654645,508.3798656233907,0.007578249973115847,0.1997269020961312,-0.14593867613032097
2021-07-26,400.9695739746094,398.8250754421995,352.34514066002214,0.0053770403729809,0.0453882313212156,334.949121218629,470.5136040333856,316.78018716238427,509.2523933758175,0.0053770403729809235,0.1971059142229763,-0.1478045044024735
