"Ticker","Date","Open","High","Low","Close","AdjClose","Volume"
"SPY","1993-01-29","43.96875","43.96875","43.75","43.9375","24.1132564544678","1003200"
"SPY","1993-02-01","43.96875","44.25","43.96875","44.25","24.2847652435303","480500"
"SPY","1993-02-02","44.21875","44.375","44.125","44.34375","24.3362159729004","201300"
"SPY","1993-02-03","44.40625","44.84375","44.375","44.8125","24.5934638977051","529400"
"SPY","1993-02-04","44.96875","45.09375","44.46875","45","24.6963691711426","531500"
"SPY","1993-02-05","44.96875","45.0625","44.71875","44.96875","24.6792106628418","492100"
"SPY","1993-02-08","44.96875","45.125","44.90625","44.96875","24.6792106628418","596100"
"SPY","1993-02-09","44.8125","44.8125","44.5625","44.65625","24.5077228546143","122100"
"SPY","1993-02-10","44.65625","44.75","44.53125","44.71875","24.5420169830322","379600"
"SPY","1993-02-11","44.78125","45.125","44.78125","44.9375","24.6620903015137","19500"
"SPY","1993-02-12","44.875","44.875","44.59375","44.59375","24.4734210968018","42500"
"SPY","1993-02-16","44.46875","44.46875","43.40625","43.46875","23.8560047149658","374800"
"SPY","1993-02-17","43.46875","43.53125","43.28125","43.4375","23.838846206665","210900"
"SPY","1993-02-18","43.9375","43.9375","42.8125","43.40625","23.8217067718506","378100"
"SPY","1993-02-19","43.40625","43.5625","43.34375","43.5625","23.9074478149414","34900"
"SPY","1993-02-22","43.6875","43.78125","43.5625","43.71875","23.9932060241699","513600"
"SPY","1993-02-23","43.84375","43.875","43.46875","43.6875","23.9760456085205","373700"
"SPY","1993-02-24","43.71875","44.25","43.71875","44.25","24.2847652435303","26300"
"SPY","1993-02-25","44.21875","44.375","44.125","44.34375","24.3362159729004","44500"
"SPY","1993-02-26","44.4375","44.4375","44.1875","44.40625","24.3705081939697","66200"
"SPY","1993-03-01","44.5625","44.5625","44.21875","44.28125","24.3019123077393","66500"
"SPY","1993-03-02","44.3125","44.9375","44.25","44.9375","24.6620903015137","182400"
"SPY","1993-03-03","45","45.15625","44.9375","45.125","24.7649707794189","280100"
"SPY","1993-03-04","45.1875","45.1875","44.875","44.875","24.6277751922607","89500"
"SPY","1993-03-05","44.9375","45.125","44.71875","44.75","24.5591869354248","40000"
"SPY","1993-03-08","44.84375","45.75","44.84375","45.75","25.1079750061035","50800"
"SPY","1993-03-09","45.65625","45.6875","45.5","45.59375","25.0222244262695","169300"
"SPY","1993-03-10","45.59375","45.6875","45.40625","45.6875","25.0736656188965","194400"
"SPY","1993-03-11","45.71875","45.84375","45.5","45.5625","25.0050983428955","70900"
"SPY","1993-03-12","45.1875","45.21875","44.8125","45.09375","24.7478199005127","643600"
"SPY","1993-03-15","45.0625","45.3125","45.0625","45.3125","24.8678932189941","310800"
"SPY","1993-03-16","45.3125","45.4375","45.3125","45.3125","24.8678932189941","30800"
"SPY","1993-03-17","45.25","45.25","44.96875","45.03125","24.7135143280029","21800"
"SPY","1993-03-18","45.21875","45.5","45.21875","45.3125","24.8678932189941","59300"
"SPY","1993-03-19","45.28125","45.28125","45.03125","45.03125","24.8302268981934","66900"
"SPY","1993-03-22","44.59375","44.875","44.5625","44.78125","24.6923904418945","183400"
"SPY","1993-03-23","44.90625","44.9375","44.8125","44.875","24.7440814971924","55200"
"SPY","1993-03-24","44.8125","45.0625","44.59375","44.875","24.7440814971924","37200"
"SPY","1993-03-25","44.90625","45.25","44.84375","45.15625","24.8991565704346","110100"
"SPY","1993-03-26","45.125","45.15625","44.875","44.90625","24.7613201141357","101500"
"SPY","1993-03-29","44.9375","45.3125","44.9375","45.09375","24.8647041320801","87100"
"SPY","1993-03-30","45.15625","45.21875","45.09375","45.21875","24.933629989624","56000"
"SPY","1993-03-31","45.34375","45.46875","45.1875","45.1875","24.9163990020752","111600"
"SPY","1993-04-01","45.25","45.25","44.9375","45.03125","24.8302268981934","129500"
"SPY","1993-04-02","44.65625","44.65625","44.09375","44.09375","24.3133010864258","59400"
"SPY","1993-04-05","44.4375","44.4375","44.1875","44.3125","24.4339294433594","172200"
"SPY","1993-04-06","44.40625","44.40625","44.0625","44.1875","24.3650016784668","129700"
"SPY","1993-04-07","44.25","44.34375","44.15625","44.34375","24.4511470794678","28000"
"SPY","1993-04-08","44.53125","44.53125","44.09375","44.28125","24.4166831970215","180800"
"SPY","1993-04-12","44.71875","44.9375","44.65625","44.90625","24.7613201141357","348500"
"SPY","1993-04-13","44.875","45.15625","44.84375","45","24.8129940032959","146100"
"SPY","1993-04-14","45.03125","45.0625","44.90625","44.9375","24.7785568237305","119600"
"SPY","1993-04-15","44.90625","45.03125","44.75","44.9375","24.7785568237305","148600"
"SPY","1993-04-16","44.96875","45.03125","44.875","44.9375","24.7785568237305","47900"
"SPY","1993-04-19","44.9375","45.0625","44.71875","44.75","24.6751537322998","157000"
"SPY","1993-04-20","44.6875","44.75","44.25","44.53125","24.5545425415039","279500"
"SPY","1993-04-21","44.625","44.625","44.375","44.5","24.5373020172119","67900"
"SPY","1993-04-22","44.3125","44.6875","43.9375","43.9375","24.2271461486816","97700"
"SPY","1993-04-23","43.84375","43.96875","43.6875","43.75","24.1237525939941","106000"
"SPY","1993-04-26","43.78125","43.9375","43.28125","43.40625","23.9342155456543","62600"
"SPY","1993-04-27","43.34375","43.875","43.34375","43.875","24.1926746368408","156800"
"SPY","1993-04-28","43.8125","43.90625","43.71875","43.78125","24.1409893035889","85900"
"SPY","1993-04-29","43.875","43.96875","43.625","43.96875","24.2443752288818","85000"
"SPY","1993-04-30","44.125","44.28125","44.03125","44.03125","24.2788391113281","88500"
"SPY","1993-05-03","44.09375","44.3125","43.90625","44.3125","24.4339294433594","80500"
"SPY","1993-05-04","44.40625","44.625","44.34375","44.46875","24.520076751709","149100"
"SPY","1993-05-05","44.46875","44.75","44.46875","44.59375","24.589017868042","109000"
"SPY","1993-05-06","44.53125","44.5625","44.40625","44.4375","24.5028419494629","54700"
"SPY","1993-05-07","44.46875","44.46875","44.28125","44.34375","24.4511470794678","68000"
"SPY","1993-05-10","44.40625","44.6875","44.40625","44.4375","24.5028419494629","113900"
"SPY","1993-05-11","44.4375","44.625","44.3125","44.625","24.6062297821045","42600"
"SPY","1993-05-12","44.4375","44.59375","44.4375","44.5625","24.5717639923096","31000"
"SPY","1993-05-13","44.375","44.375","44","44.03125","24.2788391113281","129100"
"SPY","1993-05-14","44.03125","44.15625","43.96875","44","24.2616024017334","63500"
"SPY","1993-05-17","44.125","44.15625","43.9375","44.15625","24.3477687835693","34000"
"SPY","1993-05-18","44.1875","44.21875","43.96875","44.125","24.3305397033691","105200"
"SPY","1993-05-19","44.125","45.03125","43.84375","45.03125","24.8302268981934","50200"
"SPY","1993-05-20","45.03125","45.15625","44.9375","45.15625","24.8991565704346","98200"
"SPY","1993-05-21","45.1875","45.25","44.71875","44.75","24.6751537322998","221400"
"SPY","1993-05-24","44.84375","45.09375","44.84375","44.9375","24.7785568237305","30500"
"SPY","1993-05-25","45.125","45.125","45.03125","45.03125","24.8302268981934","191800"
"SPY","1993-05-26","45.15625","45.625","45.125","45.59375","25.1404037475586","102400"
"SPY","1993-05-27","45.65625","45.65625","45.375","45.4375","25.0542430877686","53800"
"SPY","1993-05-28","45.40625","45.40625","45","45.21875","24.933629989624","79100"
"SPY","1993-06-01","45.375","45.8125","45.3125","45.65625","25.1748790740967","28300"
"SPY","1993-06-02","45.53125","45.75","45.34375","45.59375","25.1404037475586","20300"
"SPY","1993-06-03","45.5","45.5","45.34375","45.4375","25.0542430877686","21600"
"SPY","1993-06-04","45.3125","45.3125","45.09375","45.28125","24.9680995941162","32000"
"SPY","1993-06-07","45.375","45.375","45.125","45.125","24.8819389343262","121400"
"SPY","1993-06-08","45","45","44.71875","44.71875","24.6579170227051","104500"
"SPY","1993-06-09","44.875","45.0625","44.8125","44.875","24.7440814971924","43300"
"SPY","1993-06-10","44.84375","44.9375","44.75","44.90625","24.7613201141357","17900"
"SPY","1993-06-11","45.0625","45.15625","44.90625","45.09375","24.8647041320801","647400"
"SPY","1993-06-14","45.15625","45.1875","45.03125","45.03125","24.8302268981934","64200"
"SPY","1993-06-15","45.09375","45.125","44.9375","44.9375","24.7785568237305","142400"
"SPY","1993-06-16","44.9375","45.03125","44.8125","45.03125","24.8302268981934","330900"
"SPY","1993-06-17","45.125","45.1875","45.03125","45.1875","24.9163990020752","37400"
"SPY","1993-06-18","44.84375","44.84375","44.5","44.5","24.7112064361572","58500"
"SPY","1993-06-21","44.625","44.625","44.53125","44.59375","24.763277053833","29300"
"SPY","1993-06-22","44.65625","44.65625","44.5625","44.625","24.7806167602539","137500"
"SPY","1993-06-23","44.625","44.625","44.21875","44.21875","24.5550270080566","227600"
"SPY","1993-06-24","44.34375","44.8125","44.34375","44.8125","24.8847427368164","243700"
"SPY","1993-06-25","44.78125","44.90625","44.75","44.78125","24.8673973083496","44800"
"SPY","1993-06-28","45","45.28125","44.9375","45.28125","25.1450443267822","439900"
"SPY","1993-06-29","45.21875","45.21875","45","45.0625","25.023567199707","207500"
"SPY","1993-06-30","45.125","45.21875","45","45.0625","25.023567199707","437600"
"SPY","1993-07-01","45.125","45.125","44.875","44.9375","24.9541568756104","605700"
"SPY","1993-07-02","44.78125","44.8125","44.53125","44.6875","24.8153381347656","285400"
"SPY","1993-07-06","44.625","44.75","44.15625","44.21875","24.5550270080566","246400"
"SPY","1993-07-07","44.1875","44.40625","44.1875","44.34375","24.6244411468506","343700"
"SPY","1993-07-08","44.375","44.9375","44.3125","44.84375","24.9020862579346","248200"
"SPY","1993-07-09","44.84375","44.96875","44.75","44.96875","24.971508026123","378200"
"SPY","1993-07-12","44.90625","44.96875","44.84375","44.9375","24.9541568756104","373700"
"SPY","1993-07-13","44.96875","45.09375","44.65625","44.90625","24.9367961883545","389600"
"SPY","1993-07-14","44.9375","45.1875","44.90625","45.0625","25.023567199707","617300"
"SPY","1993-07-15","45.03125","45.03125","44.78125","44.875","24.9194583892822","443800"
"SPY","1993-07-16","44.90625","44.9375","44.6875","44.75","24.8500289916992","216400"
"SPY","1993-07-19","44.75","44.75","44.59375","44.71875","24.8326854705811","188200"
"SPY","1993-07-20","44.6875","44.84375","44.46875","44.84375","24.9020862579346","68500"
"SPY","1993-07-21","44.78125","44.8125","44.65625","44.8125","24.8847427368164","142700"
"SPY","1993-07-22","44.75","44.8125","44.5","44.5","24.7112064361572","632400"
"SPY","1993-07-23","44.59375","44.71875","44.5625","44.71875","24.8326854705811","286200"
"SPY","1993-07-26","44.84375","45.0625","44.84375","44.96875","24.971508026123","121300"
"SPY","1993-07-27","45","45.03125","44.78125","44.9375","24.9541568756104","92800"
"SPY","1993-07-28","44.84375","44.9375","44.78125","44.84375","24.9020862579346","30800"
"SPY","1993-07-29","44.9375","45.21875","44.875","45.09375","25.040922164917","331000"
"SPY","1993-07-30","45.09375","45.09375","44.78125","44.84375","24.9020862579346","75300"
"SPY","1993-08-02","44.90625","45.125","44.90625","44.96875","24.971508026123","41300"
"SPY","1993-08-03","45.0625","45.1875","44.84375","45","24.9888668060303","81600"
"SPY","1993-08-04","45","45.09375","44.875","45","24.9888668060303","434000"
"SPY","1993-08-05","45","45","44.84375","44.90625","24.9367961883545","36800"
"SPY","1993-08-06","45.03125","45.0625","44.90625","44.96875","24.971508026123","402300"
"SPY","1993-08-09","45.09375","45.34375","45","45.21875","25.1103382110596","828200"
"SPY","1993-08-10","45.1875","45.21875","45.125","45.1875","25.0929908752441","604900"
"SPY","1993-08-11","45.15625","45.3125","45.15625","45.1875","25.0929908752441","542200"
"SPY","1993-08-12","45.3125","45.3125","44.90625","45.0625","25.023567199707","303700"
