date,price
2010-01-04,17.205242156982422
2010-01-05,16.997121810913086
2010-01-06,16.991092681884766
2010-01-07,16.94886589050293
2010-01-08,16.635160446166992
2010-01-11,16.972990036010742
2010-01-12,17.156986236572266
2010-01-13,17.202234268188477
2010-01-14,17.232404708862305
2010-01-15,16.979026794433594
2010-01-19,17.018234252929688
2010-01-20,16.74073028564453
2010-01-21,16.399879455566406
2010-01-22,16.36067771911621
2010-01-25,16.39385223388672
2010-01-26,16.33051300048828
2010-01-27,16.44211196899414
2010-01-28,16.342575073242188
2010-01-29,16.36368751525879
2010-02-01,16.402902603149414
2010-02-02,16.604997634887695
2010-02-03,16.55070686340332
2010-02-04,16.116352081298828
2010-02-05,16.0137996673584
2010-02-08,15.881072998046875
2010-02-09,16.291301727294922
2010-02-10,16.224929809570312
2010-02-11,16.354642868041992
2010-02-12,16.28225326538086
2010-02-16,16.535614013671875
2010-02-17,16.689455032348633
2010-02-18,16.86440086364746
2010-02-19,16.807098388671875
2010-02-22,16.704538345336914
2010-02-23,16.53863525390625
2010-02-24,16.63817596435547
2010-02-25,16.022842407226562
2010-02-26,15.902192115783691
2010-03-01,16.068086624145508
2010-03-02,16.077136993408203
2010-03-03,16.267168045043945
2010-03-04,16.4300479888916
2010-03-05,16.499427795410156
2010-03-08,16.427032470703125
2010-03-09,16.342575073242188
2010-03-10,16.34860610961914
2010-03-11,16.299945831298828
2010-03-12,16.223920822143555
2010-03-15,16.31515884399414
2010-03-16,16.330350875854492
2010-03-17,16.372934341430664
2010-03-18,16.406383514404297
2010-03-19,16.64966583251953
2010-03-22,16.585813522338867
2010-03-23,16.81692123413086
2010-03-24,16.610139846801758
2010-03-25,16.664875030517578
2010-03-26,16.61925506591797
2010-03-29,16.65575408935547
2010-03-30,16.686166763305664
2010-03-31,16.725692749023438
2010-04-01,16.81692123413086
2010-04-05,16.683120727539062
2010-04-06,16.509780883789062
2010-04-07,16.36685562133789
2010-04-08,16.348608016967773
2010-04-09,16.601015090942383
2010-04-12,16.652706146240234
2010-04-13,16.731779098510742
2010-04-14,16.71048927307129
2010-04-15,16.50065803527832
