ticker,description,last_date,price,window,n,trend_cagr,trend_value,current_vs_trend_pct,current_sigma,verdict,trailing_1y_growth
QQQ,Nasdaq-100 ETF,2026-07-01,725.1699829101562,full,4148,0.1875446178352349,639.8217457854452,0.13339377363602667,1.2512395681624904,hot (+1..+2 sigma),0.3209023397984758
QQQ,Nasdaq-100 ETF,2026-07-01,725.1699829101562,10y,2513,0.19276570366568424,652.0907272008876,0.11206915335686918,0.8990867038166082,normal (+/-1 sigma),0.3209023397984758
QQQ,Nasdaq-100 ETF,2026-07-01,725.1699829101562,5y,1255,0.17974071563156313,627.4261878166793,0.15578532900197595,1.086929520522355,hot (+1..+2 sigma),0.3209023397984758
SPY,S&P 500 ETF,2026-07-01,745.760009765625,full,4148,0.13622909807186834,669.8411549028771,0.11333859424292281,1.4547043870912393,hot (+1..+2 sigma),0.22039860690043533
SPY,S&P 500 ETF,2026-07-01,745.760009765625,10y,2513,0.14103497976547752,679.7192393325641,0.0971588953372986,1.1734721680802724,hot (+1..+2 sigma),0.22039860690043533
SPY,S&P 500 ETF,2026-07-01,745.760009765625,5y,1255,0.14614003755288474,686.3132077764234,0.08661759866432184,0.9053740902652897,normal (+/-1 sigma),0.22039860690043533
MSFT,Microsoft,2026-07-01,384.2799987792969,full,4148,0.25930492616205614,604.0675562207668,-0.36384598904223364,-2.5340195549060662,broken/cheap (<-2 sigma),-0.22126723534215154
MSFT,Microsoft,2026-07-01,384.2799987792969,10y,2513,0.26506513135331744,628.7091037658881,-0.3887793313672282,-2.8016561431846347,broken/cheap (<-2 sigma),-0.22126723534215154
MSFT,Microsoft,2026-07-01,384.2799987792969,5y,1255,0.14628047117014487,490.93600977043724,-0.2172503317510014,-1.8218129019590246,cool (-1..-2 sigma),-0.22126723534215154
GOOG,Alphabet Class C,2026-07-01,357.8900146484375,full,4148,0.20960068945596455,249.67743624369933,0.4334095224332428,2.424980121488807,overheated (>+2 sigma),1.0232931622282289
GOOG,Alphabet Class C,2026-07-01,357.8900146484375,10y,2513,0.21826834009550566,257.4010592310178,0.3903983756618137,1.9471114231401618,hot (+1..+2 sigma),1.0232931622282289
GOOG,Alphabet Class C,2026-07-01,357.8900146484375,5y,1255,0.2246307517305106,261.05828464996233,0.3709199657398774,1.4629922137773743,hot (+1..+2 sigma),1.0232931622282289
GOOGL,Alphabet Class A,2026-07-01,361.2099914550781,full,4148,0.20804433039153492,248.26320911795975,0.45494772559494656,2.515859908300035,overheated (>+2 sigma),1.0554980152052402
GOOGL,Alphabet Class A,2026-07-01,361.2099914550781,10y,2513,0.2148660164570355,254.0068396428065,0.42204828800289196,2.0629768489548184,overheated (>+2 sigma),1.0554980152052402
GOOGL,Alphabet Class A,2026-07-01,361.2099914550781,5y,1255,0.22581626893769413,260.1978798336089,0.38821266217105355,1.5068673464137947,hot (+1..+2 sigma),1.0554980152052402
AAPL,Apple,2026-07-01,294.3800048828125,full,4148,0.259160043868774,318.4785229476324,-0.07566763950604749,-0.4116379592281221,normal (+/-1 sigma),0.4405024517490179
AAPL,Apple,2026-07-01,294.3800048828125,10y,2513,0.2873394836551637,350.39567520576145,-0.15986404595335002,-0.9219975272762895,normal (+/-1 sigma),0.4405024517490179
AAPL,Apple,2026-07-01,294.3800048828125,5y,1255,0.15131677736244376,268.75986053915744,0.0953272720571392,0.9523644109587995,normal (+/-1 sigma),0.4405024517490179
NVDA,Nvidia,2026-07-01,197.5800018310547,full,4148,0.5571337721374872,152.52101769708932,0.2954280322430951,0.5238296145044197,normal (+/-1 sigma),0.2522510795423829
NVDA,Nvidia,2026-07-01,197.5800018310547,10y,2513,0.6195289528450669,194.48002973791054,0.01593979647844468,0.043984369739570026,normal (+/-1 sigma),0.2522510795423829
NVDA,Nvidia,2026-07-01,197.5800018310547,5y,1255,0.8240297055087284,260.5537720257121,-0.2416920304206649,-0.828296178499783,normal (+/-1 sigma),0.2522510795423829
AMZN,Amazon,2026-07-01,241.6999969482422,full,4148,0.2668849820515864,350.42963562179773,-0.31027523822472125,-1.3268231786950813,cool (-1..-2 sigma),0.10169104161840115
AMZN,Amazon,2026-07-01,241.6999969482422,10y,2513,0.17498837536103173,259.1793209397966,-0.06744104401606399,-0.2914235258534497,normal (+/-1 sigma),0.10169104161840115
AMZN,Amazon,2026-07-01,241.6999969482422,5y,1255,0.1469624694362821,231.16729195028609,0.04556312836948062,0.21229718226206232,normal (+/-1 sigma),0.10169104161840115
META,Meta,2026-07-01,612.9099731445312,full,3549,0.22647338742225864,695.6781115035055,-0.1189747628829303,-0.38204023059906084,normal (+/-1 sigma),-0.1668783365172306
META,Meta,2026-07-01,612.9099731445312,10y,2513,0.1754278248764356,579.595755094439,0.05747836790948213,0.18613517109491703,normal (+/-1 sigma),-0.1668783365172306
META,Meta,2026-07-01,612.9099731445312,5y,1255,0.3433837965604558,765.9651308832775,-0.19982000690064017,-0.6392736278238023,normal (+/-1 sigma),-0.1668783365172306
TSLA,Tesla,2026-07-01,425.2999877929688,full,4026,0.45662658353495567,645.7960319922934,-0.34143294984190276,-0.7845067620894197,normal (+/-1 sigma),0.3388528076872863
TSLA,Tesla,2026-07-01,425.2999877929688,10y,2513,0.48263231631157755,668.9650960516313,-0.36424188600694385,-0.812162304414894,normal (+/-1 sigma),0.3388528076872863
TSLA,Tesla,2026-07-01,425.2999877929688,5y,1255,0.09953092262207552,341.63566120987565,0.2448934232650144,0.7861292207575271,normal (+/-1 sigma),0.3388528076872863
