date,price,trend,minus1sd,plus1sd,minus2sd,plus2sd,dev_sigma,trend_full,dev_pct_full,dev_sigma_full,trend_10y,dev_pct_10y,dev_sigma_10y,trend_5y,dev_pct_5y,dev_sigma_5y
2010-01-04,6.695000171661377,7.148517695274513,5.398847443202482,9.465224897953524,4.077426252192366,12.532735622667975,-0.23348577182785699,7.148517695274513,-0.06344217681840958,-0.23348577182785699,,,,,,
2010-01-05,6.734499931335449,7.153120669813155,5.402323794297688,9.471319614517855,4.08005173205016,12.54080552826656,-0.21482353544819577,7.153120669813155,-0.058522812322225226,-0.21482353544819577,,,,,,
2010-01-06,6.612500190734863,7.157726608235431,5.40580238383676,9.47741825550769,4.082678902470594,12.548880630127023,-0.28224111437286864,7.157726608235431,-0.07617312693575773,-0.28224111437286864,,,,,,
2010-01-07,6.5,7.162335512449804,5.409283213261045,9.483520823449991,4.085307764542229,12.556960931595274,-0.3456615267225324,7.162335512449804,-0.09247479558846561,-0.3456615267225324,,,,,,
2010-01-08,6.676000118255615,7.1669473843659635,5.412766284012817,9.489627320873346,4.087938319354332,12.565046436019362,-0.25278181831125096,7.1669473843659635,-0.06850158648873361,-0.25278181831125096,,,,,,
2010-01-11,6.515500068664551,7.180800825440546,5.423228958669761,9.50797041534007,4.095840151136611,12.589334200539652,-0.3463490759864526,7.180800825440546,-0.09264993876712613,-0.3463490759864526,,,,,,
2010-01-12,6.367499828338623,7.185424587285385,5.426721009172831,9.514092656006119,4.098477487817262,12.597440550310855,-0.43049271409236756,7.185424587285385,-0.11383109641065337,-0.43049271409236756,,,,,,
2010-01-13,6.45550012588501,7.190051326398931,5.430215308228711,9.52021883882061,4.101116522695232,12.605552119810568,-0.38389139464184097,7.190051326398931,-0.10216216368538977,-0.38389139464184097,,,,,,
2010-01-14,6.367499828338623,7.1946810446982665,5.433711857285256,9.526348966321917,4.103757256864001,12.613668912399802,-0.43507877866738387,7.1946810446982665,-0.11497121432077806,-0.43507877866738387,,,,,,
2010-01-15,6.35699987411499,7.199313744101709,5.43721065779126,9.532483041050051,4.106399691417755,12.621790931441739,-0.443250820467065,7.199313744101709,-0.11699918907921114,-0.443250820467065,,,,,,
2010-01-19,6.380499839782715,7.217874391166109,5.4512284033182885,9.557058863088265,4.116986455390947,12.654331339475917,-0.43927854534778427,7.217874391166109,-0.11601400994290645,-0.43927854534778427,,,,,,
2010-01-20,6.289000034332275,7.222522024908083,5.4547384828360865,9.563212712107926,4.1196374083070495,12.662479541304899,-0.4930263456431033,7.222522024908083,-0.12925152562448405,-0.4930263456431033,,,,,,
2010-01-21,6.330999851226807,7.227172651290025,5.458250822515686,9.56937052362884,4.12229006818805,12.67063298981118,-0.4716085333429472,7.227172651290025,-0.124000469243426,-0.4716085333429472,,,,,,
