date,price,trend,minus1sd,plus1sd,minus2sd,plus2sd,dev_sigma,trend_full,dev_pct_full,dev_sigma_full,trend_10y,dev_pct_10y,dev_sigma_10y,trend_5y,dev_pct_5y,dev_sigma_5y
2012-05-18,37.8972053527832,38.96149901436168,27.96670265921688,54.27877658454758,20.074598704242455,75.61787051440785,-0.08353431280468382,38.96149901436168,-0.027316548092417126,-0.08353431280468382,,,,,,
2012-05-21,33.7337646484375,39.026882051297655,28.01363483583234,54.36986423117429,20.10828678765194,75.74476825053044,-0.43959382068942215,39.026882051297655,-0.1356274732863052,-0.43959382068942215,,,,,,
2012-05-22,30.73014068603516,39.04870077056837,28.02929639017921,54.40026073589346,20.119528707102695,75.78711480110836,-0.7225423030399591,39.04870077056837,-0.21303039333905416,-0.7225423030399591,,,,,,
2012-05-23,31.721437454223636,39.07053168800827,28.044966700415344,54.430674234355614,20.130776911561924,75.82948502632924,-0.6284721269618734,39.07053168800827,-0.1880981372987115,-0.6284721269618734,,,,,,
2012-05-24,32.74246597290039,39.092374810437,28.06064577143589,54.461104736061436,20.142031404543385,75.87187893942887,-0.5346087982088522,39.092374810437,-0.16243343793586296,-0.5346087982088522,,,,,,
2012-05-25,31.632221221923828,39.114230144678,28.076333608138743,54.491552250516925,20.153292189562805,75.91429655365037,-0.6403381120789332,39.114230144678,-0.19128610981423588,-0.6403381120789332,,,,,,
2012-05-29,28.588943481445312,39.20177373636656,28.139172709826582,54.61351262614111,20.198398320403108,76.08420428687779,-0.9521732693287468,39.20177373636656,-0.2707232159007126,-0.9521732693287468,,,,,,
2012-05-30,27.944604873657227,39.22369023215386,28.154904448505043,54.64404534712079,20.209690618416868,76.12674060561545,-1.022612578782772,39.22369023215386,-0.2875579857922326,-1.022612578782772,,,,,,
2012-05-31,29.342329025268555,39.24561898077415,28.170644982310645,54.67459513799769,20.220989229604193,76.16930070508957,-0.8770938795687581,39.24561898077415,-0.25234128579694637,-0.8770938795687581,,,,,,
2012-06-01,27.47869300842285,39.26755998907763,28.186394316160474,54.70516200831512,20.232294157494582,76.21188459859523,-1.076693618829299,39.26755998907763,-0.30021898442210015,-1.076693618829299,,,,,,
2012-06-04,26.665830612182617,39.33345664064654,28.23369516718744,54.79696519142312,20.266246876708788,76.33977917636379,-1.1723164696095232,39.33345664064654,-0.32205727923168104,-1.1723164696095232,,,,,,
2012-06-05,25.644800186157227,39.35544675626123,28.249479750440027,54.827600475041905,20.277577106745934,76.38245837909507,-1.2917553511042237,39.35544675626123,-0.3483798991031074,-1.2917553511042237,,,,,,
2012-06-06,26.57661437988281,39.377449165867496,28.265273158363527,54.858252885897556,20.288913671163268,76.42516144244483,-1.1857956511021464,39.377449165867496,-0.3250803456583595,-1.1857956511021464,,,,,,
2012-06-07,26.080968856811523,39.39946387633854,28.281075395891538,54.88892243356539,20.300256573502146,76.4678883797528,-1.2442608938874125,39.39946387633854,-0.3380374682591931,-1.2442608938874125,,,,,,
