date,price,trend,minus1sd,plus1sd,minus2sd,plus2sd,dev_sigma,trend_full,dev_pct_full,dev_sigma_full,trend_10y,dev_pct_10y,dev_sigma_10y,trend_5y,dev_pct_5y,dev_sigma_5y
2010-01-04,6.400960445404053,7.126796802648043,5.893204907500041,8.618609646780556,4.8731379669584935,10.422695398861256,-0.5651518171195697,7.126796802648043,-0.10184608560388553,-0.5651518171195697,,,,,,
2010-01-05,6.412026882171631,7.131292600522282,5.896922518487035,8.62404652508674,4.8762120890247465,10.429270348746263,-0.5593813428076174,7.131292600522282,-0.10086049733788427,-0.5593813428076174,,,,,,
2010-01-06,6.3100361824035645,7.135791234481102,5.900642474654904,8.629486833139358,4.879288150339703,10.435849446307504,-0.647061449614817,7.135791234481102,-0.11572018083816393,-0.647061449614817,,,,,,
2010-01-07,6.29836893081665,7.140292706313592,5.904364777483062,8.634930573102,4.882366152126697,10.442432694161457,-0.6601168902902294,7.140292706313592,-0.11791166134582909,-0.6601168902902294,,,,,,
2010-01-08,6.340245246887207,7.144797017809965,5.9080894284518495,8.640377747139613,4.885446095609837,10.449020094926246,-0.6285686475941232,7.144797017809965,-0.11260666593007984,-0.6285686475941232,,,,,,
2010-01-11,6.284312725067139,7.158327008201502,5.919277485019451,8.656739895372326,4.89469758848881,10.468807240891755,-0.6851442121977835,7.158327008201502,-0.12209756303853958,-0.6851442121977835,,,,,,
2010-01-12,6.212827205657959,7.162842696278174,5.92301154337289,8.662200827386691,4.897785311013072,10.475411279514258,-0.7486553980335461,7.162842696278174,-0.1326310699401293,-0.7486553980335461,,,,,,
2010-01-13,6.300463676452637,7.1673612329867655,5.926747957282697,8.667665204321295,4.900874981365614,10.482019484163045,-0.6782754853410011,7.1673612329867655,-0.12095072766032156,-0.6782754853410011,,,,,,
2010-01-14,6.263974189758301,7.171882620124279,5.930486728234832,8.673133028349298,4.903966600775185,10.48863185746617,-0.7121540429892718,7.171882620124279,-0.12659276210382897,-0.7121540429892718,,,,,,
2010-01-15,6.159289836883545,7.176406859488852,5.934227857716185,8.678604301645228,4.9070601704713095,10.495248402053349,-0.8041450455931274,7.176406859488852,-0.1417306797844725,-0.8041450455931274,,,,,,
2010-01-19,6.431766033172607,7.1945323752201675,5.949215990704497,8.700523931046863,4.919453976738967,10.521756345894907,-0.5896615212097401,7.1945323752201675,-0.10602028071688507,-0.5896615212097401,,,,,,
2010-01-20,6.332766056060791,7.199070902731804,5.952968935168195,8.70601248334843,4.922557316337876,10.528393786406129,-0.674595274553681,7.199070902731804,-0.12033564585984002,-0.674595274553681,,,,,,
2010-01-21,6.223298072814941,7.203612293283163,5.95672424710219,8.711504497993943,4.925662613616787,10.53503541401455,-0.769657696443469,7.203612293283163,-0.1360864772500725,-0.769657696443469,,,,,,
2010-01-22,5.914628505706787,7.208156548680336,5.960481927999953,8.716999977167553,4.928769869810663,10.541681231361519,-1.0406322792105442,7.208156548680336,-0.17945337816093443,-1.0406322792105442,,,,,,
2010-01-25,6.07374906539917,7.221806522024746,5.971769199424703,8.733507223719146,4.938103404243397,10.561643848272174,-0.910908914439163,7.221806522024746,-0.1589709518143807,-0.910908914439163,,,,,,
2010-01-26,6.159588813781738,7.226362254888888,5.975536371131106,8.739016582874225,4.941218508462353,10.568306451020144,-0.840387993612633,7.226362254888888,-0.14762246943618684,-0.840387993612633,,,,,,
2010-01-27,6.217615127563477,7.230920861646406,5.979305919282779,8.744529417498839,4.944335577782786,10.574973256738408,-0.7943726813159335,7.230920861646406,-0.14013508838931066,-0.7943726813159335,,,,,,
2010-01-28,5.960690498352051,7.23548234411024,5.983077845378855,8.75004572978542,4.947454613444342,10.58164426807833,-1.0197240773204335,7.23548234411024,-0.17618615941974947,-1.0197240773204335,,,,,,
2010-01-29,5.744443893432617,7.24004670409447,5.986852150919412,8.755565521927782,4.9505756166874475,10.58831948769294,-1.2174694046057903,7.24004670409447,-0.206573641274447,-1.2174694046057903,,,,,,
2010-02-01,5.824303150177002,7.253757067327531,5.998189359222961,8.772145799448452,4.9599504443220725,10.608370422740347,-1.1547826718827459,7.253757067327531,-0.1970639358173566,-1.1547826718827459,,,,,,
2010-02-02,5.85810136795044,7.258332955557068,6.001973197561169,8.777679532979768,4.963079330311305,10.61506250201753,-1.1276569838578812,7.258332955557068,-0.1929136616052579,-1.1276569838578812,,,,,,
2010-02-03,5.958894729614258,7.262911730394593,6.00575942285846,8.783216757356708,4.966210190095971,10.621758802859691,-1.0412176073778576,7.262911730394593,-0.1795446577332268,-1.0412176073778576,,,,,,
2010-02-04,5.744144439697266,7.267493393661064,6.009548036620599,8.788757474781406,4.969343024921199,10.628459327929923,-1.2376518706105148,7.267493393661064,-0.20961132971823693,-1.2376518706105148,,,,,,
2010-02-05,5.84613561630249,7.272077947178589,6.0133390403543014,8.794301687457379,4.972477836032904,10.635164079892991,-1.148369085977806,7.272077947178589,-0.19608457737025964,-1.148369085977806,,,,,,
2010-02-08,5.806057453155518,7.285848967475816,6.024726406466205,8.810955319049004,4.981894139557825,10.655303723812146,-1.194517194033285,7.285848967475816,-0.20310488467797216,-1.194517194033285,,,,,,
2010-02-09,5.867971420288086,7.290445100241637,6.028526985172335,8.816513534793092,4.985036868290316,10.662025410027908,-1.142025886895364,7.290445100241637,-0.1951147920867553,-1.142025886895364,,,,,,
2010-02-10,5.835967540740967,7.29504413238631,6.032329961397877,8.822075256826922,4.98818157955066,10.668751336485595,-1.174118338210691,7.29504413238631,-0.20000928920604888,-1.174118338210691,,,,,,
2010-02-11,5.9421467781066895,7.299646065738847,6.036135336655255,8.82764048736237,4.991328274589493,10.67548150586008,-1.0825703817928023,7.299646065738847,-0.1859678230159172,-1.0825703817928023,,,,,,
2010-02-12,5.993293285369873,7.30425090212942,6.039943112457853,8.8332092286127,4.994476954658243,10.682215920827922,-1.0407947891857445,7.30425090212942,-0.17947872195591763,-1.0407947891857445,,,,,,
2010-02-16,6.083619594573975,7.322699314715862,6.0551982514214915,8.855519345077118,5.007091550288597,10.70919609022318,-0.9753620865568207,7.322699314715862,-0.16921078783773147,-0.9753620865568207,,,,,,
2010-02-17,6.058194637298584,7.32731869378958,6.059018052684342,8.861105673149792,5.010250174305988,10.715951773365338,-1.000715074309051,7.32731869378958,-0.17320442982324047,-1.000715074309051,,,,,,
2010-02-18,6.069560050964356,7.331940986906618,6.062840263592771,8.866695525246314,5.013410790878455,10.722711718195706,-0.994171674853972,7.331940986906618,-0.1721755450837128,-0.994171674853972,,,,,,
